,Program,ARWSony,CR2Canon,DNGAdobe,NEFNikon,ORFOlympus,PEFPentax,RAFFujifilm,SRWSamsung,X3FSigma,Others,Notes
0,ACDSee,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F,"cRAW, CRW, DCR, ERF, HDR, MRW, RAW, RWL, sRAW",[1]
1,Aperture,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F,"CRW, MOS, RAW, FFF, 3FR",[2]
2,digiKam,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F,Several,[3][4]
3,F-Spot,ARW?,CR2,DNG,NEF,ORF,PEF,RAF,SRW?,X3F?,"CRW, MRW, RAW, SRF",
4,FastPictureViewer(registered edition),ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F,"NRW, RW2, SR2, SRF, RWZ etc.",[5]
5,FastStone Image Viewer,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F,"CR3, CRW, NRW, RWL, MRW, SR2, SRF, RW2",[6]
6,Geeqie,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW?,X3F,"3FR, CRW, DCR, ERF, K25, KDC, MEF, MOS, MRW, PTX, R3D, RAW, SR2, SRF",
7,IrfanView,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F,"CRW, EEF, DCR, MRW, NRW, RW2, SRF",[7]
8,Phase One Media Pro,ARW?,CR2?,DNG,NEF,ORF?,PEF?,RAF,SRW,X3F?,"CRW, MOS, RAW",
9,Picasa,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F,"3FR, CRW, DCR, KDC, MRW, NRW, RAW, RW2, SRF, SR2",[8]
10,Shotwell,ARW?,CR2?,DNG?,NEF?,ORF?,PEF?,RAF?,SRW?,X3F?,,"Support ""limited"", export 8-bit only [9]"
11,XnView and XnViewMP,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F,"CRW, RWZ and more",[10]
12,Zoner Photo Studio,ARW,CR2,DNG,NEF,ORF,PEF,RAF,SRW,X3F,"3FR, CRW, ERF, KDC, MEF, MRW, RAW, RW2, RWZ, SR2, SRF",[11]
