,Company,Software,On-demandscan,On-accessscan,Boot-timescans,Heuristics,CloudAV,Firewall,IDS,IPS,Sandbox,Email Security,AntiSpam,Web protection,Macro protection,LiveUpdate,Support,Settings Import/Export,installer/ updater MIMA safe,License,Price,First release,Country of origin,Original author/s,Notes
0,AhnLab,AhnLab V3 Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,No,Yes,Yes,Yes,Yes,?,?,Proprietary,Non-free,1988,South Korea,Dr. Ahn Cheol-Soo,
1,Avast,Avast Free Antivirus,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,?,Proprietary,Free,1988,Czech Republic,Pavel Baudiš and Eduard Kučera,
2,Avast,Avast Premium Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?,Proprietary,Trialware,1997,Czech Republic,Pavel Baudiš and Eduard Kučera,
3,AVG Technologies (avast),AVG Antivirus FREE,Yes,Yes,Yes,Yes,No,No,No,No,?,No,No,Yes,Yes,Yes,Yes,No,?,Proprietary,Free,1992,Czech Republic,Jan Gritzbach and Tomáš Hofer,
4,AVG Technologies (avast),AVG Antivirus,Yes,Yes,Yes,Yes,Yes,No,No,No,?,Yes,No,Yes,Yes,Yes,Yes,No,?,Proprietary,Non-free,2006,Czech Republic,Jan Gritzbach and Tomáš Hofer,
5,AVG Technologies (avast),AVG Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,No,?,Proprietary,Non-free,2008,Czech Republic,Jan Gritzbach and Tomáš Hofer,
6,Avira,Avira Antivirus FREE (formerly AntiVir),Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,No,Yes,Yes,Yes,?,?,Proprietary,Free,1988,Germany,Tjark Auerbach,
7,Avira,Avira Internet Security,Yes,Yes,Yes,Yes,Yes,No,No,No,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary,Non-free,2002,Germany,Tjark Auerbach,
8,Bitdefender,Bitdefender Antivirus Free,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,?,?,Proprietary,Free,2013,Romania,,
9,Bitdefender,Bitdefender Antivirus Plus,Yes,Yes,Yes,Yes,Yes,Yes,vte,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary,Non-free,1996,Romania,,
10,Bitdefender,Bitdefender Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,?,No[1],Proprietary,Non-free,2008,Romania,,
11,Check Point,ZoneAlarm PRO Antivirus + Firewall,Yes,Yes,No,Yes,No,Yes,No,No,?,No,No,No,Yes,Yes,Yes,Yes,?,Proprietary,Non-free,2002,Israel,,Third-party antivirus engine (Kaspersky) [2]
12,Check Point,ZoneAlarm Extreme Security,Yes,Yes,No,Yes,Yes,Yes,No,No,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Proprietary,Non-free,2002,United States,,
13,Cisco (originally Immunet),Immunet,Yes,Yes,No,No,Yes,No,No,No,?,Yes,No,No,No,Yes,Yes,?,?,Proprietary,Free,2010,United States,,Third-party antivirus engine (ClamAV)
14,ClamWin,ClamWin,Yes,Yes (with Winpooch or Clam Sentinel),Yes (with Clam Sentinel),Yes,No,No,No,No,?,Yes,No,No,No,Yes,No,?,?,GNU GPL,Free,2002,Australia,,Third-party antivirus engine (ClamAV)
15,Comodo Group,Comodo Antivirus,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes*,Yes,Yes,Yes*,Yes,Yes,Yes,?,Proprietary,Free,2008,United States,,*Protection via containment of untrusted executable code
16,Comodo Group,Comodo Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes*,Yes,Yes,Yes*,Yes,Yes,Yes,?,Proprietary,Free,2010,United States,,*Protection via containment of untrusted executable code
17,Dr.Web,Dr.Web Anti-virus,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes*,Yes,Yes,Yes,Yes,Yes,Proprietary,Trialware,1992,Russia,Igor Danilov,*macOS/Linux feature only
18,Dr.Web,Dr.Web Security Space,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Trialware,2006,Russia,Igor Danilov,
19,ESET,ESET NOD32 Antivirus,Yes,Yes,Yes,Yes,Yes,No,No,No,?,Yes,No,Yes[3][4],Yes,Yes,Yes,Yes,?,Proprietary,Trialware[5],1987,Slovakia,Peter Paško and Miroslav Trnka,
20,ESET,ESET Smart Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes[3][4],Yes,Yes,Yes,Yes,No[1],Proprietary,Trialware[5],2007,Slovakia,Peter Paško and Miroslav Trnka,
21,F-Secure,F-Secure Antivirus,Yes,Yes,Yes,Yes,No,No,No,No,?,Yes,No,No,Yes,Yes,Yes,?,?,Proprietary,Non-free,1991,Finland,Petri Allas and Risto Siilasmaa,Third-party antivirus engine (Bitdefender)
22,F-Secure,F-Secure SAFE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary,Non-free,2004,Finland,Petri Allas and Risto Siilasmaa,Third-party antivirus engine (Bitdefender)
23,FRISK Software,F-PROT Antivirus,Yes,Yes,Yes,Yes,No,No,No,No,?,Yes,No,No,Yes,Yes,Yes,?,?,Proprietary,Trialware,1989,Iceland,Friðrik Skúlason (second engine also with Dr. Vesselin Bontchev),
24,Fortinet,FortiClient,Yes,Yes,Yes,No,No,Yes,No,No,?,No,No,Yes,No,Yes,Yes,?,?,Proprietary,Free,2004,United States,,
25,G Data Software,G DATA AntiVirus,Yes,Yes,Yes,Yes,No,No,No,No,?,No,No,Yes,Yes,Yes,Yes,?,?,Proprietary,Non-free,1987,Germany,Andreas Lüning and Kai Figge,Third-party antivirus engine (Bitdefender)
26,G Data Software,G DATA InternetSecurity,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary,Non-free,2004,Germany,Andreas Lüning and Kai Figge,Third-party antivirus engine (Bitdefender)
27,Kaspersky Lab,Kaspersky Anti-Virus,Yes,Yes,Yes,Yes,No,No,No,No,?,Yes,No,Yes,No,Yes,Yes,?,?,Proprietary,Non-free,1997,Russia,Eugene Kaspersky and Natalia Kaspersky,Banned by USG
28,Kaspersky Lab,Kaspersky Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary,Non-free,2007,Russia,Eugene Kaspersky and Natalia Kaspersky,Banned by USG
29,Kaspersky Lab,Kaspersky Total Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Proprietary,Non-free,,Russia,Eugene Kaspersky and Natalia Kaspersky,Banned by USG
30,McAfee,McAfee Antivirus,Yes,Yes,Yes,Yes,No,No,No,No,?,Yes,No,No,Yes,Yes,Yes,?,?,Proprietary,Non-free,1987,United States,John McAfee,"John McAfee ""uninstall video"" scandal"
31,McAfee,McAfee Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary,Non-free,2006,United States,John McAfee,"John McAfee ""uninstall video"" scandal"
