,Unnamed: 0,Trident,Gecko,WebKit,Presto
0,Value properties,Value properties,Value properties,Value properties,Value properties
1,E,3.0,1.0,Yes,1.0
2,LN10,3.0,1.0,Yes,1.0
3,LN2,3.0,1.0,Yes,1.0
4,LOG2E,3.0,1.0,Yes,1.0
5,LOG10E,3.0,1.0,Yes,1.0
6,PI,Yes,Yes,Yes,Yes
7,SQRT1_2,3.0,1.0,Yes,1.0
8,SQRT2,Yes,Yes,Yes,Yes
9,Function properties,Function properties,Function properties,Function properties,Function properties
10,abs(x),3.0,1.0,Yes,1.0
11,acos(x),3.0,1.0,Yes,1.0
12,asin(x),3.0,1.0,Yes,1.0
13,atan(x),3.0,1.0,Yes,1.0
14,"atan2(y, x)",3.0,1.0,Yes,1.0
15,ceil(x),3.0,1.0,Yes,1.0
16,cos(x),3.0,1.0,Yes,1.0
17,exp(x),3.0,1.0,Yes,1.0
18,floor(x),3.0,1.0,Yes,1.0
19,log(x),3.0,1.0,Yes,1.0
20,"max([value1 [, value2 [, ...]]])",3.0,1.0,Yes,1.0
21,"min([value1 [, value2 [, ...]]])",3.0,1.0,Yes,1.0
22,"pow(x, y)",3.0,1.0,Yes,1.0
23,random(),3.0,1.0,Yes,1.0
24,round(x),3.0,1.0,Yes,1.0
25,sin(x),3.0,1.0,Yes,1.0
26,sqrt(x),3.0,1.0,Yes,1.0
27,tan(x),3.0,1.0,Yes,1.0
