,Country,Program,Program.1,First successful human spaceflight,First successful human spaceflight.1,Status
0,Country,Name,Period,Year,Spacecraft,Status
1,China,Project 714,1968-72,,Shuguang-1,Cancelled
2,China,Project 873,1978-80,,Piloted FSW satellite,Cancelled
3,China,Shenzhou,1992-present,2003,Shenzhou 5,Ongoing
4,India,Indian Human Spaceflight Programme,2007-present,2021 (Planned)Before August 2022 (Scheduled),Gaganyaan,Ongoing
5,Iran,Iranian manned spaceship project,2015-17,TBD,Class E Kavoshgar,On hold
