,Editor,Version,Year,Creator,Software license
0,Amaya,11.4.4 (January 18),2012,"W3C, INRIA",W3C
1,Aptana Studio,3.6.0 (August 1),2014,Aptana,GPL
2,Arachnophilia,"5.5, build 2935 (March 9)",2018,Paul Lutus [1],LGPL
3,Atom,1.38.2 (June 17),2019,GitHub,MIT License
4,Bluefish,2.2.10 (January 27),2017,Bluefish,GPL
5,BlueGriffon,3.0.1 (November 22),2017,Disruptive Innovations,MPL 1.1/GPL 2.0/LGPL 2.1
6,Brackets,1.13 (June 18),2018,Adobe,MIT License
7,Claris Homepage,3.0,1998,Claris,Proprietary
8,Coda,2,2012,"Panic, Inc.",Proprietary
9,Codelobster,5.10.1 (August 22),2016,Codelobster Software,Proprietary
10,CoffeeCup HTML Editor,15.1 (July 10),2015,CoffeeCup Software,Proprietary
11,CudaText,1.57.0 (June 25),2018,"UVViewSoft (alexey_t, kvichans, matthias030)",MPL 2.0
12,Contribute,CS6.5 (8)(August 23),2012,Adobe Systems (formerly Macromedia),Proprietary
13,Dreamweaver,CC 2018 (18.2) (May 1),2018,Adobe Systems (formerly Macromedia),Proprietary
14,EZGenerator,4.1 (December),2012,Image-Line,Proprietary
15,Freeway,5.4.2 (November),2009,Softpress,Proprietary
16,GoLive,9.0 (June 1),2007,Adobe Systems (formerly GoLive Systems),Proprietary
17,Google Web Designer,(July),2018,"Google, Inc.",Proprietary
18,HTML-Kit,292,,Chami.com,Proprietary
19,KompoZer,"0.7.10/0.8b3 (August 30, 2007/ March 1, 2010)",2010,Kaze,MPL 1.1/GPL 2.0/LGPL 2.1
20,LibreOffice,6.1.2 (September 27),2018,The Document Foundation,Mozilla Public License/Apache License 2.0/others
21,Maqetta,Preview 5 (March 28),2013,IBM,BSD or AFL
22,Microsoft Expression Web,4.0.1460.0 (December 20),2012,Microsoft,Proprietary
23,Microsoft Office FrontPage,11.0.8174 (October 21),2003,Microsoft,Proprietary
24,Microsoft FrontPage Express,2.0,1997,Microsoft,Proprietary
25,Web Architect,6.9.1 (July 25),2012,mirabyte,Proprietary
26,Microsoft SharePoint Designer,2007 (December 4),2006,Microsoft,Proprietary
27,Microsoft Visual Studio Code,1.28.1 (October 11),2018,Microsoft,MIT License
28,Microsoft Visual Web Developer,,2008,Microsoft,Proprietary
29,Mobirise,4.8,2018,Mobirise.com,Proprietary
30,Mozilla Composer,1.7.13 (April 21),2006,Mozilla Foundation,MPL 1.1/GPL 2.0/LGPL 2.1
31,Nvu,1.0 (June 28),2005,Linspire / Daniel Glazman,MPL 1.1/GPL 2.0/LGPL 2.1
32,openElement,1.44 (January 21),2014,openElement,Apache License 2.0
33,OpenOffice.org,4.1.5 (October 19),2017,Apache Foundation,Mozilla Public License/Apache License 2.0/others
34,oXygenXML Editor[2],17.1 (October),2015,Syncro Soft,Proprietary (some components Apache License 2.0)
35,Quanta Plus,3.5.9 (February 20),2008,The Quanta Team,GPL
36,RocketCake,1.4,2017,Ambiera,Proprietary
37,SeaMonkey Composer,2.49.1 (November 4),2017,SeaMonkey Council,MPL
38,TextMate,2.0 Preview (August 12),2012,Macromates,GPL
39,TOWeb,5.07 (July 28),2013,Lauyan Software,Proprietary
40,WebStorm IDE,7.0 (September 26),2013,JetBrains,Proprietary
41,Editor,Version,Year,Creator,Software license
