,Unnamed: 0,Protocol,"Author, creator",First public release date,Latest stable version,Cost (USD),Software license,Programming language
0,BeeBEEP[1][2],BeeBEEP Protocol,Marco Mastroddi,2010,"5.8.2 (November 6, 2019; 11 days ago)",Free,GNU GPLv3,C++ and Qt
1,BORGChat,?,Ionut Cioflan,2002,"v1.0.0 b438 (March 31, 2007; 12 years ago) [±]",Free[3],Freeware,?
2,Briar,Bramble Protocol,Briarproject.org,2018,"1.1.5 (November 13, 2018; 12 months ago)",Free,GNU GPLv3,Java
3,iChat,Bonjour IM Protocol,Apple Inc.,2003,"5.0.3 (745), (April 26, 2010; 9 years ago)","Non-free, bundled with OS",Proprietary,Likely Objective-C
4,iptux[4],Windows Messenger service,"Jally, ManPT, others",2008,"0.51 (November 20, 2009; 9 years ago)",Free[5],GNU GPL,?
5,Miranda IM,Windows Messenger service,Roland Rabien,2000,"0.10.56 (August 12, 2016; 3 years ago)",Free,GNU GPL,C/C++
6,MyChat,MyChat protocol,Alexey Pikurov,2004,"7.7.0 (August 21, 2019)",Paid/Free,Proprietary software,Python
7,Pidgin[6],Bonjour IM Protocol,"Mark Spencer, others",1998,"2.11.0 (June 20, 2016; 3 years ago)",Free,GNU GPL,C
8,qTox,Tox Protocol,Tux3,?,"1.16.1 (July 7, 2018; 16 months ago)",Free,GNU GPLv3,C++ and Qt
