,Server,Developed by,Software license,Last stable version,Latest release date
0,AOLserver,NaviSoft,Mozilla,4.5.2,2012-09-19
1,Apache HTTP Server,Apache Software Foundation,Apache,2.4.41,2019-08-14
2,Apache Tomcat,Apache Software Foundation,Apache,9.0.21,2019-06-07
3,Boa,Jon Nelson and Larry Doolittle,GNU GPL,0.94.13,2002-07-30(discontinued)
4,Caddy,Matt Holt,Apache,1.0.0,2019-04-24
5,Caudium,The Caudium Group,GNU GPL,1.4.18,2012-02-24
6,Cherokee HTTP Server,Álvaro López Ortega,GNU GPL,1.2.103,2013-04-21
7,GlassFish,"""Oracle Corporation (initial code from Sun Microsystems)""",Common Development and Distribution License & GNU General Public License,5.1,2019-01-28
8,Hiawatha,Hugo Leisink,GNU GPLv2,10.9,2019-02-18
9,HFS,Rejetto,GNU GPL,2.3i,2016-06-14
10,IBM HTTP Server,IBM,Non-free proprietary,9.0.0,2016-03-11
11,Internet Information Services,Microsoft,Non-free proprietary,10.0.17763.1,2018-10-02
12,Jetty,Eclipse Foundation,Apache,9.4.18,2019-04-29
13,Jexus,Bing Liu,Non-free proprietary,5.5.2,2014-04-27
14,lighttpd,Jan Kneschke (Incremental),BSD variant,1.4.54,2019-05-27
15,LiteSpeed Web Server,LiteSpeed Technologies,Non-free proprietary,5.3.7,2019-03-15
16,Mongoose,Cesanta Software,GNU GPLv2 / proprietary license,6.14,2019-03-04
17,Monkey HTTP Server,Monkey Software,Apache,1.6.9,2016-05-04
18,NaviServer,Various,Mozilla 1.1,4.99.18,2019-02-24
19,NCSA HTTPd,Robert McCool,Non-free proprietary,1.5.2a,1996-10-08
20,Nginx,"NGINX, Inc.",BSD variant,1.16.1,2019-08-13
21,OpenLink Virtuoso,OpenLink Software,GNU GPL and proprietary versions,7.2.5.1,2018-10-22
22,Oracle HTTP Server,Oracle Corporation,Non-free proprietary,12.1.2,2014-09-23
23,Oracle iPlanet Web Server,Oracle Corporation,BSD,7.0.23,2016-02-12
24,Oracle WebLogic Server,Oracle Corporation(formerly BEA Systems),Non-free proprietary,12cR3 (12.1.3),2014-06-26
25,Resin Open Source,Caucho Technology,GNU GPLv3 / proprietary license,4.0.57,2018-07-19
26,Resin Professional,Caucho Technology,Non-free proprietary,4.0.49,2016-10-19
27,thttpd,Jef Poskanzer for ACME Laboratories,BSD variant,2.27,2014-10-03
28,TUX web server,Ingo Molnár,GNU GPL,3.2.6.18,2006-09-20
29,Wakanda Server,Wakanda,GNU AGPLv3 / proprietary license,2.1.0,2017-07-27
30,WEBrick,Ruby Community,Ruby,1.9.3 p286 (Ruby),2012-10-12
31,Xitami,iMatix Corporation,BSD,5.0a0,2009-02-19
32,Yaws,Claes Wikström,BSD variant,2.0.4,2016-09-22
33,Zeus Web Server,Zeus Technology,Non-free proprietary,4.3r5,2010-01-13
34,Zope,Zope Corporation,Zope,2.13.21,2013-07-16
35,Server,Developed by,Software license,Last stable version,Latest release date
