,Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,Fillrate.1,Memory,Memory.1,Memory.2,Memory.3,Supported API version,Supported API version.1,Supported API version.2,TBP (Watts)
0,Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,OpenGL,TBP (Watts)
1,Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,Hardware,Drivers (Software),TBP (Watts)
2,GeForce FX Go 5100*,March 2003,NV34M,150,AGP 8×,200,400,1:2:2:2 *:4:4:4,0.8,0.8,64,3.2,DDR,64,9.0,1.5,2.1**,Unknown
3,GeForce FX Go 5500*,March 2003,NV34M,150,AGP 8×,300,600,1:2:2:2 *:4:4:4,1.2,1.2,3264,9.6,DDR,128,9.0,1.5,2.1**,Unknown
4,GeForce FX Go 5600*,March 2003,NV31M,130,AGP 8×,350,600,1:2:2:2 *:4:4:4,1.4,1.4,32,9.6,DDR,128,9.0,1.5,2.1**,Unknown
5,GeForce FX Go 5650*,March 2003,NV31M,130,AGP 8×,350,600,1:2:2:2 *:4:4:4,1.4,1.4,32,9.6,DDR,128,9.0,1.5,2.1**,Unknown
6,GeForce FX Go 5700*,"February 1, 2005",NV36M,130,AGP 8×,450,550,3:2:2:2 *:4:4:4,1.8,1.8,32,8.8,DDR,128,9.0,1.5,2.1**,Unknown
