,Unnamed: 0,Trident,Gecko,WebKit,KHTML,Presto
0,Element identifiers,Element identifiers,Element identifiers,Element identifiers,Element identifiers,Element identifiers
1,id,<3.1[IE 3.0],1.0,Yes,Yes,1.0
2,class,<3.1[IE 3.0],1.0,Yes,Yes,1.0
3,Inline styles,Inline styles,Inline styles,Inline styles,Inline styles,Inline styles
4,style,<3.1[IE 3.0],1.0,Yes,Yes,1.0
5,Advisory information,Advisory information,Advisory information,Advisory information,Advisory information,Advisory information
6,title,<3.1[IE 4.0],1.0,Yes,Yes,1.0
7,Language information,Language information,Language information,Language information,Language information,Language information
8,lang,<3.1[IE 4.0],1.0,Yes,Yes,1.0
9,dir,<3.1[IE 5.0],1.0,Yes,Yes,1.0
