,Format,Languages,Base index
0,string[i],"ALGOL 68, APL, Julia, Pascal, Object Pascal (Delphi), Seed7",1
1,string[i],"C, C++, C#, Cobra, D, FreeBASIC, Go, Python,[1] PHP, Ruby,[1] Windows PowerShell, JavaScript, Ya, APL",0
2,string{i},PHP (deprecated in 5.3),0
3,string(i),Ada,≥1
4,"Mid(string,i,1)",VB,1
5,"MID$(string,i,1)",BASIC,1
6,string.Chars(i),VB.NET,0
7,string(i:i),Fortran,1
8,string.charAt(i),"Java, JavaScript",0
9,string.[i],"OCaml, F#",0
10,string.chars().nth(i),Rust,0
11,"string[i,1]",Pick Basic,1
12,"String.sub (string, i)",Standard ML,0
13,string !! i,Haskell,0
14,(string-ref string i),Scheme,0
15,(char string i),Common Lisp,0
16,(elt string i),ISLISP,0
17,(get string i),Clojure,0
18,"substr(string, i, 1)",Perl 5[1],0
19,"substr(string, i, 1) string.substr(i, 1)",Raku[2],0
20,"substr(string, i, 1)",PL/I,1
21,string.at(i),C++ (STL) (w/ bounds checking),0
22,"lists:nth(i, string)",Erlang,1
23,[string characterAtIndex:i],Objective-C (NSString * only),0
24,"string.sub(string, i, i) (string):sub(i, i)",Lua[1],1
25,string at: i,Smalltalk (w/ bounds checking),1
26,string index string i,Tcl,0
27,"StringTake[string, {i}]","Mathematica, Wolfram Language[1]",1
28,string@i,Eiffel,1
29,string (i:1),COBOL,1
30,i⌷string,APL,0 or 1
