,Language,Statements ratio[40],Lines ratio[41]
0,C,1.0,1.0
1,C++,2.5,1.0
2,Fortran,2.0,0.8
3,Java,2.5,1.5
4,Perl,6.0,6.0
5,Smalltalk,6.0,6.25
6,Python,6.0,6.5
