,Unnamed: 0,Unnamed: 1,Unnamed: 2,Trident,Gecko,WebKit,Blink,Presto,KHTML,Prince XML,Amaya,Batik,Renesis,LeonLabs
0,SVG,1.1,Tiny (SVGT),5.0[t 1],Partial[g 1],Partial,Partial,1.0,Partial[note 1],Partial,Partial,Mostly,Partial,Partial
1,SVG,1.1,Basic (SVGB),5.0[t 1],Partial[g 1],Partial,Partial,Mostly,Partial[note 1],Partial,Partial,Mostly,Partial,Partial
2,SVG,1.1,Full,5.0[t 1],Partial[g 1],Partial,Partial,Mostly,Partial[note 1],Partial,Partial,Mostly,Partial,Partial
3,SVG,1.2,Tiny,No,No,No,No,2.1,No,?,?,Partial,Partial,Partial
4,SVG,1.2,Full,No,No,No,No,No,No,No,No,No,No,No
5,sXBL,sXBL,sXBL,No,No,No,No,No,No,No,No,Yes,No,No
6,XBL 2.0,XBL 2.0,XBL 2.0,No,No,No,No,No,No,No,No,No,No,No
