,IDE,Developer,Latest stable release,Platform,License
0,Eclipse EPIC,EPIC Project Team,"0.6.44 / April 18, 2012","Windows, Linux, macOS, FreeBSD, JVM, Solaris",CPL
1,Geany,Team,"1.27 / March 13, 2016","Windows, Linux, macOS, FreeBSD, AIX, OpenBSD, Solaris, other Unix",GPL
2,Komodo IDE / Edit,ActiveState,"9.0.1 / April 19, 2015",Cross-platform,Proprietary
3,NetBeans,Sun Microsystems / Oracle,"9.0 / July 29, 2018; 16 months ago[35]",Cross-platform,"CDDL, GPL"
4,Padre,Padre Team,"1.0 / November 8, 2013",Cross-platform,Perl
5,JetBrains IDEs (via plugin)[36],Alexandr Evstigneev,"2019.1.3 / May 25, 2019",Cross-platform,Apache 2.0
6,SlickEdit,SlickEdit,October 2016,"Windows, Linux, macOS, AIX, Solaris, HP-UX",Proprietary
