,John McCain,John McCain.1,Barack Obama,Barack Obama.1
0,,,,
1,Chuck Baldwin,Bob Barr,Cynthia McKinney,Ralph Nader
2,Baldwin would eliminate the Federal Reserve and move the US from fiat currency back to hard money.[31],"""Congress must insist on accountability and transparency in the Federal Reserve’s operation, while reconsidering the Fed’s almost total control over the money supply.""[80]",,
