,Unnamed: 0,PC operating system,PC operating system.1,PC operating system.2,PC operating system.3,Mobile operating system,Mobile operating system.1,Mobile operating system.2,Mobile operating system.3,Mobile operating system.4,Unnamed: 10
0,Client,Windows,OS X,Linux,FreeBSD,iOS,Android,BlackBerry OS,Symbian,Windows Phone,other
1,BookmarkSync,Yes,Yes,No,No,No,No,No,No,No,No
2,Opera Link,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Solaris, Java ME, S60, UIQ3, BREW"
3,Firefox Sync,Yes,Yes,Yes,Yes[13],Yes,Yes,No,No,Yes,OpenSolaris[14]
4,,,,,,,,,,,
5,Eversync,Yes,Yes,Yes,?,Yes,Yes,No,No,Yes,No
6,Client,Windows,OS X,Linux,FreeBSD,iOS,Android,BlackBerry OS,Symbian,Windows Phone,other
