,Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
0,Webpages from Common Crawl 2012,Large collection of webpages and how they are connected via hyperlinks,None.,3.5B,Text,"clustering, classification",2013,[429],V. Granville
1,Internet Advertisements Dataset,Dataset for predicting if a given image is an advertisement or not.,Features encode geometry of ads and phrases occurring in the URL.,3279,Text,Classification,1998,[430][431],N. Kushmerick
2,Internet Usage Dataset,General demographics of internet users.,None.,10104,Text,"Classification, clustering",1999,[432],D. Cook
3,URL Dataset,120 days of URL data from a large conference.,Many features of each URL are given.,2396130,Text,Classification,2009,[433][434],J. Ma
4,Phishing Websites Dataset,Dataset of phishing websites.,Many features of each site are given.,2456,Text,Classification,2015,[435],R. Mustafa et al.
5,Online Retail Dataset,Online transactions for a UK online retailer.,Details of each transaction given.,541909,Text,"Classification, clustering",2015,[436],D. Chen
6,Freebase Simple Topic Dump,Freebase is an online effort to structure all human knowledge.,Topics from Freebase have been extracted.,large,Text,"Classification, clustering",2011,[437][438],Freebase
7,Farm Ads Dataset,The text of farm ads from websites. Binary approval or disapproval by content owners is given.,SVMlight sparse vectors of text words in ads calculated.,4143,Text,Classification,2011,[439][440],C. Masterharm et al.
