,Positive,Comparative,Superlative
0,good,better,best
1,well,better,best
2,"bad, evil",worse,worst
3,ill,worse,worst
4,far,farther,farthest
5,far,further,furthest
6,little,less(er),least
7,many,more,most
8,much,more,most
