,Model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config[a],Bus Interface,L2 Cache (MB),Clock speeds,Clock speeds.1,Clock speeds.2,Memory,Memory.1,Memory.2,Memory.3,Fillrate[b],Fillrate[b].1,Processing power (GFLOPS)[b],Processing power (GFLOPS)[b].1,Processing power (GFLOPS)[b].2,Processing power (GFLOPS)[b].3,TDP (Watts),NVLink Support,Release price (USD),Release price (USD).1
0,Model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config[a],Bus Interface,L2 Cache (MB),Base core clock (MHz),Boost core clock (MHz),Memory (MT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width (bit),Pixel (GP/s)[c],Texture (GT/s)[d],Single precision,Double precision,Half precision,Tensor compute + Single precision,TDP (Watts),NVLink Support,MSRP,Founders Edition
1,Nvidia TITAN V [85],"December 7, 2017",GV100-400-A1,TSMC12FFN,21.1,815,5120:320:96:640 (80) (6),PCIe 3.0 x16,4.5,1200,1455,1700,12,652.8,HBM2,3072,153.6186.2,384.0465.6,12 288.014 899.2,6 144.07 449.6,24 576.029 798.4,110 592.0134 092.8,250,No,$2999,
2,Nvidia TITAN VCEO Edition[86][87],"June 21, 2018",GV-100-???-A1,TSMC12FFN,21.1,815,5120:320:128:640 (80) (6),PCIe 3.0 x16,6,1200,1455,1700,32,870.4,HBM2,4096,153.6186.2,384.0465.6,12 288.014 899.2,6 144.07 449.6,24 576.029 798.4,110 592.0134 092.8,250,Yes,,
