,Other software,GUI,CLI,Other,Programming language,Based on
0,jDCbot,No,No,No,Java,
1,Net::DirectConnect,No,No,No,Perl,
2,FlowLib,No,No,No,C#,
3,DC-hublink,Yes,No,No,Visual Basic,
4,Hub-Link,Yes,No,No,Visual Basic,
5,MyIrcDcLinks,Yes,No,No,Delphi,
6,NetChatLink,Yes,No,No,Delphi,
7,Kitty,Unknown,Unknown,Unknown,C#,
8,Other software,GUI,CLI,Other,Programming language,Based on
