,IRC daemon,Creator/network,Basis,Programming language,First public release,Latest version (numeric 351),Software license
0,Asuka[1],QuakeNet Dev Team,ircu,C,Unknown,1.2.1 (now replaced by snircd),GPL
1,Bahamut[2],DALnet,"DreamForge, IRCD-Hybrid",C,1999[3],bahamut-2.0.7,GPL
2,bIRCd[4],DAMnet,DreamForge,C,1999,bIRCd-2.1.0rc4,GPL
3,beware ircd[5],beware,from scratch,Delphi,Unknown,beware1.6,GPL
4,Charybdis[6],"atheme.org (nenolod, jilles, dwr, gxti)","ircd-ratbox, IRCD-Hybrid, ircu, ShadowIRCd",C,2005,charybdis-3.4.2,GPL/BSD
5,dancer-ircd,freenode,Hybrid 6,C,1999,? (replaced by hyperion),GPL
6,Elemental-IRCd[7],[8],ShadowIRCD,C,2007,6.6.2,GPL2
7,DreamForge,DALnet,irc2.8.mu3,C,"1994 (dal), 1997? (df)",? (replaced by bahamut),GPL
8,Faerion IRC Server[9],vhex,DreamForge,"C, C++",2003,1.17.7.1[10],GPL
9,FoxEye (ircd module),Andriy Grytsenko,from scratch,C,"2011(draft), 2016(working)",0.11.0,GPL2
10,hyperion[11],freenode,dancer-ircd 1.0.35+pre2,C,2005,? (replaced by ircd-seven),GPL
11,IgniteIRCd[12],Lloyd Dilley,ircd-hybrid 6.3.1,C,2004,0.9.41 (now unmaintained),GPL
12,InspIRCd [13],InspIRCd Development Team,from scratch,C++,2002,3.1.0[14],GPL
13,ignitionServer[15],The Ignition Project,Pure-IRCD (VB6 version),Visual Basic,2004,ignitionServer-0.3.6-P1[16],GPL[17]
14,IRCd[18],"Jarkko Oikarinen, IRCnet[19]",from scratch,C[20],1988,2.11.2[21],GPL v1
15,ircd-hybrid[22],"ircd-hybrid Development Team,[23] Rizon, OFTC, EFnet",irc2.8[24],C[24],1997[24],8.2.21[25],GPL[26]
16,ircd-ratbox,"Aaron Sethman, Lee Hardy, EFnet",Hybrid 7-rc1,C,2002,ircd-ratbox-3.0.10,GPL
17,ircd-seven,freenode,charybdis 3.1.x/trunk,C,—,stable,GPL
18,ircu[27],Undernet Coder Committee,irc2.7[28],C[29],1991,u2.10.12.14[27],GPL
19,ithildin[30],Chip Norkus,from scratch,C,2006,1.1[31],BSD[32]
20,miniircd[33],Joel Rosdahl,from scratch,Python,2003,1.3[34],GPL
21,Nefarious IRCu,"Evilnet Development, AfterNET",ircu2.10.12.14,C,2004,u2.10.12.14+Nefarious(2.0.0),GPL
22,ngIRCd[35],Alex Barton,from scratch,C,2001[36],ngircd-24[37],GPL
23,OfficeIRC Server,"Office IRC Inc, Paul Heinlein",from scratch,VB.NET,2006,2.2,Proprietary
24,Oragono,"Daniel Oaks, Oragono Contributors",Ergonomadic,Go,2016,0.12.0,MIT
25,PleXusIRCd,"Rizon, thaprince, static",Hybrid 7.2.3,C,2005,hybrid-7.2.3+plexus-3.0.1(20090612_0-523),GPL
26,ProvisionIRCd[38],"Sirius, Y4kuzi",from scratch,Python3,2006,1.3,GPL
27,pureIRCd,Dennis Fisch aka Diligent,from scratch,C,2002,Unknown,GPL
28,RockIRCd[39],Mike Chambers,from scratch,QuickBASIC[40],2009,1.0.0-testing,GPL
29,RubIRCd[41],Lloyd Dilley,from scratch,Ruby,2013,0.1a-maiden voyage,GPL
30,ShadowIRCd[42],"Taros, jdhore, jilles, nenolod",Charybdis[42],C,2003,6.3.3,GPL
31,snircd,QuakeNet,ircu2.10.12[43],C[43],Unknown,1.3.4a[1],GPL[43]
32,solid-ircd,"Toshi Morita, Juan Baez,Gabriel Baez",Bahamut,C,2004[44],solid-ircd 3.4.8,GPL
33,Synchronet IRCd[45],Randy E. Sommerfeld,from scratch,JavaScript,2003,SynchronetIRCd-1.3a(1.151),GPL
34,TR-IRCd [46],"Yusuf Iskenderoglu, Ekim Engin, Dimitris Ginosatiris, Maksut Cagil, Burak Cifter",Hybrid 7 and Bahamut,C,1999,5.6.1,GPL
35,UltimateIRCd,ShadowRealm Creations,DreamForge 2.8,C,2001,3.0.2 [47] (now unmaintained),GPL
36,UnrealIRCd[48],UnrealIRCd Team,EliteIRCd (potvin)[49],C,1999,4.2.3[50],GPL
37,Viagra IRCd[51],Chris Schiffner,Titan,C,2003,1.3.3 (now unmaintained),GPL
38,WeIRCd,Eloxoph IRC Network[52],from scratch,C,2007,0.8.2 (now unmaintained),GPL
39,Pocosi[53],"Chris Williams, Hinrik Örn Sigurðsson",POE::Component::Server::IRC[54],Perl,2003,0.02 (1.53 of POE::Component::Server::IRC),Artistic
