,Model,Announced,Released,Last revision
0,Mac Mini,"January 11, 2005[7]","January 29, 2005","November 7, 2018"
1,iMac Pro,"June 5, 2017","December 14, 2017",
2,iMac,"May 6, 1998","August 15, 1998","March 19, 2019"
3,Mac Pro,"August 7, 2006","August 7, 2006","December 19, 2013"
4,MacBook Air,"January 15, 2008","January 29, 2008","July 9, 2019"
5,MacBook Pro 13 in with Touch Bar (4th gen),"October 27, 2016",November 2016,"July 9, 2019"
6,MacBook Pro 15 in with Touch Bar (4th gen),"October 27, 2016",November 2016,"May 21, 2019"
