,Model,Launch,Fab (nm),Bus interface,Memory,Memory.1,Memory.2
0,Model,Launch,Fab (nm),Bus interface,Size (KiB),Bus type,Bus width (bit)
1,Wonder MDA/CGA,1986,1000,PC/XT,64,DRAM,8
2,Wonder EGA,1987,1000,PC/XT,256,DRAM,8
3,Wonder VGA,1987,"1000, 800","PC/XT, ISA","256, 5121024",DRAM,"8, 16"
