,No.,Country,Spacecraft,Year,Landing type
0,TBD,China,Mars Global Remote Sensing Orbiter and Small Rover,2020 (Planned),Soft landing
1,TBD,India,Mars Orbiter Mission 2,2024 (Planned)[91],Soft landing
