,Data types,Java,C#
0,Arbitrary-size decimals,Reference type; no operators[1],Third party library[2]
1,Arbitrary-size integers,Reference type; no operators,Yes[3]
2,Arrays,Yes[4],Yes
3,Boolean type,Yes,Yes
4,Character,Yes[5],Yes
5,Complex numbers,Third-party library[6],Yes
6,Date/time,Yes; reference type[7],Yes; value type
7,Enumerated types,Yes; reference type,Yes; scalar
8,High-precision decimal number,No; but see 'Arbitrary-size decimals' above,128-bit (28 digits) Decimal type[8]
9,IEEE 754 binary32 floating point number,Yes,Yes
10,IEEE 754 binary64 floating point number,Yes,Yes
11,Lifted (nullable) types,No; but wrapper types,Yes
12,Pointers,No;[9] only method references[10],Yes[11]
13,Reference types,Yes,Yes
14,Signed integers,"Yes; 8, 16, 32, 64 bits","Yes; 8, 16, 32, 64 bits"
15,Strings,"Immutable reference type, Unicode","Immutable reference type, Unicode"
16,Type annotations,Yes,Yes
17,Single-root (unified) type system,No; but wrapper types,Yes[12]
18,Tuples,No; limited 3rd party available.[13],Yes[14]
19,Unsigned integers,No; but some method support.[15],"Yes; 8, 16, 32, 64 bits"
20,Value types,No; only primitive types,Yes
