,Esperanto,Esperanto.1,Interlingua,Interlingua.1,English
0,Preferred form,Alternative form,Preferred Form,Alternative form,English
1,sana,sana,san,san,healthy
2,sano,sano,sanitate,sanitate,health
3,malsana,morba,malade,malsan,"sick, unhealthy"
4,malsano,morbo,"maladia, morbo",malsanitate,"malady, illness, disease"
5,malsanulejo,hospitalo,hospital,malsanitario,hospital
6,saniĝi,reakiri,recovrar,sanar,"to become healthy, recover"
7,sanigi,kuraci,curar,sanar,"to make healthy, cure"
8,malsaniĝi,malsaniĝi,cader malade,malsanar,"to become sick, fall ill"
