,Name,Parsing algorithm,Output languages,"Grammar, code",Development platform,License
0,Arpeggio,"PEG parser interpreter, Packrat","Python (no generation, interpreted)",Mixed,All,"Free, MIT"
1,AustenX,Packrat (modified),Java,Separate,All,"Free, BSD"
2,Aurochs,Packrat,"C, OCaml, Java",Mixed,All,"Free, GNU GPL"
3,BNFlite,Recursive descent,C++,Mixed,All,"Free, MIT"
4,Canopy,Packrat,"Java, JavaScript, Python, Ruby",Separate,All,"Free, GNU GPL"
5,CL-peg,Packrat,Common Lisp,Mixed,All,"Free, MIT"
6,Drat!,Packrat,D,Mixed,All,"Free, GNU GPL"
7,Frisby,Packrat,Haskell,Mixed,All,"Free, BSD"
8,grammar::peg,Packrat,Tcl,Mixed,All,"Free, BSD"
9,Grako,Packrat + Cut + Left Recursion,"Python, C++ (beta)",Separate,All,"Free, BSD"
10,IronMeta,Packrat,C#,Mixed,Windows,"Free, BSD"
11,Katahdin,"Packrat (modified), mutating interpreter",C#,Mixed,All,"Free, public domain"
12,Laja,2-phase scannerless top-down backtracking + runtime support,Java,Separate,All,"Free, GNU GPL"
13,lars::Parser,Packrat (supporting left-recursion and grammar ambiguity),C++,Identical,All,"Free, BSD"
14,LPeg,Parsing machine,Lua,Mixed,All,"Free, MIT"
15,lug,Parsing machine,C++17,Mixed,All,"Free, MIT"
16,Mouse,Recursive descent,Java,Separate,Java virtual machine,"Free, Apache 2.0"
17,Narwhal,Packrat,C,Mixed,"POSIX, Windows","Free, BSD"
18,Nearley,Earley,JavaScript,Mixed,All,"Free, MIT"
19,Nemerle.Peg,Recursive descent + Pratt,Nemerle,Separate,All,"Free, BSD"
20,neotoma,Packrat,Erlang,Separate,All,"Free, MIT"
21,NPEG,Recursive descent,C#,Mixed,All,"Free, MIT"
22,OMeta,"Packrat (modified, partial memoization)","JavaScript, Squeak, Python",Mixed,All,"Free, MIT"
23,PackCC,Packrat (modified),C,Mixed,All,"Free, MIT"
24,Packrat,Packrat,Scheme,Mixed,All,"Free, MIT"
25,Pappy,Packrat,Haskell,Mixed,All,"Free, BSD"
26,parboiled,Recursive descent,"Java, Scala",Mixed,Java virtual machine,"Free, Apache 2.0"
27,Lambda PEG,Recursive descent,Java,Mixed,Java virtual machine,"Free, Apache 2.0"
28,parsepp,Recursive descent,C++,Mixed,All,"Free, public domain"
29,Parsnip,Packrat,C++,Mixed,Windows,"Free, GNU GPL"
30,peg,Recursive descent,C,Mixed,All,"Free, MIT"
31,PEG.js,Packrat (partial memoization),JavaScript,Mixed,All,"Free, MIT"
32,peg-parser,PEG parser interpreter,Dylan,Separate,All,?
33,Pegasus,"Recursive descent, Packrat (selectively)",C#,Mixed,Windows,"Free, MIT"
34,pegc,Recursive descent,C,Mixed,All,"Free, public domain"
35,pest,Recursive descent,Rust,Separate,All,"Free, MPL"
36,PetitParser,Packrat,"Smalltalk, Java, Dart",Mixed,All,"Free, MIT"
37,PEGTL,Recursive descent,C++11,Mixed,All,"Free, MIT"
38,Parser Grammar Engine (PGE),Hybrid recursive descent / operator precedence[5],Parrot bytecode,Mixed,Parrot virtual machine,"Free, Artistic 2.0"
39,PyPy rlib,Packrat,Python,Mixed,All,"Free, MIT"
40,pyPEG,"PEG parser interpreter, Packrat",Python,Mixed,All,"Free, GNU GPL"
41,Rats!,Packrat,Java,Mixed,Java virtual machine,"Free, GNU LGPL"
42,Spirit2,Recursive descent,C++,Mixed,All,"Free, Boost"
43,textX,"PEG parser interpreter, Packrat","Python (no generation, interpreted)",Separate,All,"Free, MIT"
44,Treetop,Recursive descent,Ruby,Mixed,All,"Free, MIT"
45,Yard,Recursive descent,C++,Mixed,All,"Free, MIT or public domain"
46,Waxeye,Parsing machine,"C, Java, JavaScript, Python, Racket, Ruby",Separate,All,"Free, MIT"
47,PHP PEG,PEG Parser?,PHP,Mixed,All,"Free, BSD"
