,Camera model,Camera line,Manufacturer,Introduced,Weight,MOS/Sync,Noise Level
0,Eyemo 71K,Eyemo,Bell and Howell,1925,11 lb (5.0 kg),MOS,
1,Arriflex 35-2C,Arriflex 35-II,Arri,1964,"13.5 lb (6.1 kg), with empty magazine",MOS,
2,Arriflex 35BL-1,Arriflex 35BL,Arri,1972,"28.5 lb (12.9 kg), with empty magazine",Sync,26 dB
3,Panaflex-X,Panaflex,Panavision,1974,20.5 lb (9.3 kg),Sync,<24 dB
4,Arriflex 35BL-2,Arriflex 35BL,Arri,1975,"28.5 lb (12.9 kg), with empty magazine",Sync,26 dB
5,Panaflex Gold II,Panaflex,Panavision,1976,"24.4 lb (11.1 kg), with short eyepiece",Sync,<24 dB
6,Arriflex 35BL-3,Arriflex 35BL,Arri,1980,"28.7 lb (13.0 kg), with empty magazine",Sync,22 dB
7,Arriflex 35-3C,Arriflex 35-III,Arri,1982,"8.8 lb (4.0 kg); 13.5 lb (6.1 kg), with empty magazine",MOS,
8,Moviecam SuperAmerica,Moviecam SuperAmerica,Moviecam,1984,29 lb (13 kg),Sync,20 dB
9,Arriflex 35BL-4,Arriflex 35BL,Arri,1986,"30.9 lb (14.0 kg), with empty magazine",Sync,22 dB
10,Panaflex Platinum,Panaflex,Panavision,1986,24 lb (11 kg),Sync,<22 dB
11,Panaflex Panastar II,Panaflex Panastar,Panavision,1987,24.4 lb (11.1 kg),MOS,
12,Arriflex 35BL-4s,Arriflex 35BL,Arri,1988,"31.9 lb (14.5 kg), with empty magazine",Sync,20 dB
13,Arriflex 535,Arriflex 535,Arri,1990,"21.6 lb (9.8 kg), body only; 29.4 lb (13.3 kg), with finder; 36.4 lb (16.5 kg), with finder and empty magazine",Sync,19 dB
14,Moviecam Compact,Moviecam Compact,Moviecam,1990,13.6 lb (6.2 kg),Sync,<20 dB
15,Arriflex 535B,Arriflex 535,Arri,1992,"26 lb (12 kg), with empty magazine",Sync,19 dB
16,Arriflex 435,Arriflex 435,Arri,1995,"14.3 lb (6.5 kg), without magazine",MOS,
17,Arriflex 435ES,Arriflex 435,Arri,1995,"14.3 lb (6.5 kg), without magazine",MOS,
18,Moviecam SL,Moviecam SL,Moviecam,1995,8.25 lb (3.74 kg),Sync,25 dB
19,Aaton 35-III,Aaton 35,Aaton,1997,"16 lb (7.3 kg), with full magazine and onboard battery",Sync,"30 dB (4 perf), 26 dB (3 perf)"
20,Panaflex Millennium,Panaflex Millennium,Panavision,1997,17.5 lb (7.9 kg),Sync,<19 dB
21,Panaflex Millennium XL,Panaflex Millennium,Panavision,1999,11.8 lb (5.4 kg),Sync,<23 dB
22,Arricam LT,Arricam,Arri,2000,"8.7 lb (3.9 kg), body only; 11.56 lb (5.24 kg), with finder",Sync,<24 dB
23,Arricam ST,Arricam,Arri,2000,"11.9 lb (5.4 kg), body only; 17.95 lb (8.14 kg), with finder",Sync,<20 dB
24,Arriflex 435 Advanced,Arriflex 435,Arri,2001,"14.3 lb (6.5 kg), without magazine",MOS,
25,Aaton 35-3P,Aaton 35,Aaton,2002,"16 lb (7.3 kg), with full magazine and onboard battery",Sync,"30 dB (4 perf), 24 dB (3 perf)"
26,Arriflex 235,Arriflex 235,Arri,2004,"7.7 lb (3.5 kg), with viewfinder",MOS,
27,Arriflex 435 Xtreme,Arriflex 435,Arri,2004,"14.3 lb (6.5 kg), without magazine",MOS,
28,Aaton Penelope,Aaton Penelope,Aaton,2008,"17 lb (7.7 kg), with full magazine and onboard battery",Sync,"23 dB (3 perf), 22 dB (2 perf)"
