,English,Malay,Indonesian
0,bell,Loceng,Lonceng
1,bridge,Jambatan,Jembatan
2,"broken, damaged",Rosak,Rusak
3,business,Bisnes,Bisnis
4,bus,Bas,Bus
5,civil,Sivil,Sipil
6,concert,konsert,konser
7,different,Beza,Beda
8,meaning,Erti,Arti
9,"namely, e.g.",Iaitu,Yaitu
10,official (adj.),Rasmi,Resmi
11,official position,Jawatan,Jabatan
12,prototype,prototaip,prototipe
13,scheme,skim,skema
14,sputum,Kahak,Dahak
15,taxi,Teksi,Taksi
16,thin,Nipis,Tipis
17,"truck, lorry",Trak,Truk
