,Unnamed: 0,Unnamed: 1,Trident,EdgeHTML,Gecko,WebKit,Blink,KHTML[n 1],Presto
0,JPEG,JPEG,3.0,Yes,1.0,85,Yes,Yes,1.0
1,JPEG 2000,JPEG 2000,No,No,No[1],Dropped[n 2],No,No,No
2,JPEG XR,JPEG XR,5.0[3],Yes,No[4],No,No,No,No
3,GIF,GIF 89a,3.0,Yes,1.0,85,Yes,Yes,1.0
4,GIF,GIF 87a,3.0,Yes,1.0,85,Yes,Yes,1.0
5,PNG,1.2,3.1,Yes,1.0,85,Yes,Yes,1.0
6,PNG,1.1,3.1,Yes,1.0,85,Yes,Yes,1.0
7,PNG,1.0,3.1,Yes,1.0,85,Yes,Yes,1.0
8,APNG,APNG,No,No,3.0,528,59.0,No,9.5
9,BMP,BMP,Yes,Yes,Yes,Yes,Yes,Yes,1.0
10,ICO,ICO,Yes,Yes,Yes,Yes,Yes,Yes,1.0
11,TIFF,TIFF,5.0[3],Yes,No[5],No,No,Yes[6],No
12,WebP,WebP,No,17 [7],Experimental[8],534.10[9],Yes[10],No,2.8.131[11]
