,Name,"FAT16, dosfs; FAT32, vfat",NTFS,Ext2,Ext3,XFS,ReiserFS,UFS,UFS2,HFS,HFS+,MINIXfs,BFS,ISO 9660,UDF,NFS,SMBFS,"RAM disk, tmpfs",ZFS,Other special file systems
0,Linux,Yes,Yes[Note 1][Note 2],Yes,Yes,Yes,Yes,Yes[Note 3],Yes[32],Yes,Yes[Note 4],Yes,Yes[Note 3],Yes,Yes,Yes,Yes,Yes,Yes,"9P,[Note 5] FUSE,[Note 5] sysfs,[Note 5] configfs,[Note 5] Reiser4,[Note 5][Note 6] JFS, Btrfs, UnionFS, Ext4"
1,FreeBSD,Yes,Yes[Note 3][Note 2],Yes,Yes[Note 3],Yes[Note 1],Yes[Note 3],Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"FUSE, nullfs, UnionFS"
2,NetBSD,Yes,Yes[Note 3][Note 2],Yes,,No,No,Yes,Yes,,Yes[Note 3],No,No,Yes,Yes[Note 3],Yes,Yes,Yes,Yes,"PUFFS, LFS, EFS"
3,OpenBSD,Yes,Yes[Note 3],Yes,,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,AFS
4,DragonFly BSD,Yes,Yes[Note 3],Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes[Note 7],Yes,Yes,Yes,No,"HAMMER, nullfs, PUFFS"
5,"OpenSolaris, illumos",Yes,Yes [Note 2][Note 8],No,No,No,No,Yes,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"SMB (native), QFS"
6,AuroraUX,Yes,Yes [Note 2][Note 8],Yes,Yes,No,No,Yes,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"SMB (native), QFS"
7,"Darwin, OpenDarwin",Yes,Yes[Note 3][Note 2],,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,,,
8,MINIX,Yes,No,Yes,,,,,,,,Yes,No,,,,,,,
9,FreeDOS,Yes,No,No,No,No,No,No,,,,No,No,Yes,,,,Yes,,
10,Genode,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Extensible VFS layer
11,Haiku,Yes,Yes [Note 2],Yes [Note 9],Yes [Note 9],,,,,,,,Yes,Yes,Yes,Yes,No[Note 10],,,
12,KolibriOS,Yes,Yes[Note 3],Yes[Note 3],Yes[Note 3],Yes[Note 3],,,,,,,,Yes,,,,Yes,,
13,MenuetOS,Yes,,,,,,,,,,,,,,,,,,
14,GNU,Yes,,Yes,Yes[Note 11],,,Yes[Note 12],,,,,,Yes,,Yes,,Yes,No,
15,ReactOS,Yes,,Yes,No,No,No,No,,,,No,No,,,,,,,
16,"L4, Fiasco, Pistachio",Yes,No,,,,,,,,,,,,,,,,,
17,Plan 9,Yes,,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,"Fossil, Venti, most system services"
18,AROS,Yes,,,,,,,,,,,,,,,,Yes,,"SFS, AFFS"
19,Syllable,Yes,Yes[Note 3],Yes[Note 3],Yes[Note 3],,,,,,,,Yes,Yes,,,,Yes,,AFS
20,Inferno,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,,"kfs, most system services"
21,FreeRTOS,,,,,,,,,,,,,,,,,,No,
22,eCos,Yes,,Yes[Note 3],,,,,,,,,,,,,,Yes,,"MMFS, ROMfs, JFFS2, YAFFS"
23,RTEMS,Yes,,,,,,,,,,,,,,Yes,,Yes,,"TarFS, TFTP FS, IMFS, miniIMFS"
24,HelenOS,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,,"locfs, exFAT"
25,E/OS,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes[Note 13],Yes,No,Yes,Yes,Yes,,
26,Name,"FAT16, dosfs; FAT32, vfat",NTFS,Ext2,Ext3,XFS,ReiserFS,UFS,UFS2,HFS,HFS+,MINIXfs,BFS,ISO 9660,UDF,NFS,SMBFS,"RAM disk, tmpfs",ZFS,Other special file systems
