,Format,Filename extension,Created by,Introduced in,Based on,Integrity check,Recovery record,Encryption supported,Unicode filenames,Modification date resolution
0,Debian package (deb),.deb,Debian,1994 Debian 0.91,"ar, tar, and gzip",Yes,No,No,Yes,1 s
1,Macintosh Installer,".pkg, .mpkg (metapackage)",NeXT,1989 NeXTSTEP 1.0,pax and gzip,Yes,?,?,Yes,?
2,RPM Package Manager (RPM),.rpm,Red Hat,1995 Red Hat Linux 1.0,cpio and gzip,Yes,?,?,?,1 s
3,Slackware Package,.tgz,Patrick Volkerding,1993 Slackware 1.0,tar and gzip,Yes,No,No,?,?
4,Windows Installer (also MSI),.msi,Microsoft,2000 Windows 2000,"OLE Structured Storage, Cabinet and SQL",Optional PKCS7 Authenticode Signature,No,No,No,2 s
5,Java Archive (JAR1),.jar,Sun Microsystems,1997 JDK 1.1,PKZIP,Yes,?,?,Yes,?
6,Google Chrome extension package,.crx,Google,2009 (Chrome 4.0),Zip,?,?,Yes[3][failed verification],?,?
7,Pacman,".pkg.tar.xz, .pkg.tar (no compression)",Judd Vinet,2001 (before ArchLinux 0.1),tar and xz (formerly gzip),Yes,No,No,Yes,1 s
