,IDE,Widget toolkit,Platform,Compilers,Open Source,Made in D,Notes
0,Visual Studio,vteMicrosoft History Outline PeopleFounders Bill Gates Paul Allen Board of directors John W. Thompson (Chairman) Satya Nadella (CEO) Bill Gates Charles Noski Helmut Panke John W. Stanton Reid Hoffman Sandi Peterson Penny Pritzker Charles Scharf Arne Sorenson Padmasree Warrior Senior leadership team Satya Nadella (CEO) Scott Guthrie Amy Hood (CFO) Harry Shum Phil Spencer Corporate VPs Joe Belfiore Richard Rashid (SVP) S. Somasegar (SVP) César Cernuda ProductsHardware Azure Kinect HoloLens LifeCam Surface Hub Go Laptop Pro Studio Xbox Operating systems Windows Xbox OS Software Office Office 365 Mobile Servers Visual Studio Web properties Azure Bing Channel 9 CodePlex Developer Network Docs MSN Mixer Office.com OneDrive Outlook.com Store TechNet Translator CompanyConferences Build Ignite Inspire (formerly TechEd) MIX PDC WinHEC Divisions Engineering groups Mobile Skype unit Digital Crimes Unit Garage Press Research .NET Foundation Outercurve Foundation Xbox Game Studios Estates Microsoft Redmond campus Microsoft Talo Microsoft Algeria Microsoft Egypt Microsoft India Microsoft Japan Microsoft Theater Campaigns Where do you want to go today? (1994) Champagne (2002) Mojave Experiment (2006) I'm a PC (2008) Scroogled (2012) Criticism Bundling of Microsoft Windows Clippy iLoo Internet Explorer Microsoft Bob _NSAKEY Windows XP Vista 10 Litigation Alcatel-Lucent v. Microsoft Apple v. Microsoft European Union Microsoft competition case Microsoft v. Lindows Microsoft v. MikeRoweSoft Microsoft v. Shah United States v. Microsoft (2001 antitrust case) Microsoft Ireland case Acquisitions 6Wunderkinder Altamira Software AltspaceVR aQuantive Azyxxi The Blue Ribbon SoundWorks Beam Bungie Calista Technologies Colloquis Connectix Consumers Software Danger Farecast FASA Studio Fast Search & Transfer Firefly Forethought GIANT Company Software GitHub GreenButton Groove Networks High Heat Major League Baseball Hotmail Jellyfish.com LinkedIn LinkExchange Lionhead Studios Maluuba Massive Incorporated Mobile Data Labs Mojang Nokia Devices and Services Onfolio Pando Networks Perceptive Pixel PlaceWare Powerset ProClarity Rare Revolution Analytics ScreenTonic Secure Islands Simplygon Skype Sunrise Atelier SwiftKey Winternals Software Teleo Telekinesys Research Tellme Networks Twisted Pixel Games Vermeer Technologies Visio Corporation Vivaty VoloMetrix VXtreme WebTV Networks Xamarin Yammer Yupi  Category,Windows,"DMD, LDC (LLVM), GDC (GCC)",No,No,"Visual Studio extension. VisualD, wrote in D."
1,vteMicrosoft,vteMicrosoft,vteMicrosoft,,,,
2,History Outline,History Outline,History Outline,,,,
3,People,Founders Bill Gates Paul Allen Board of directors John W. Thompson (Chairman) Satya Nadella (CEO) Bill Gates Charles Noski Helmut Panke John W. Stanton Reid Hoffman Sandi Peterson Penny Pritzker Charles Scharf Arne Sorenson Padmasree Warrior Senior leadership team Satya Nadella (CEO) Scott Guthrie Amy Hood (CFO) Harry Shum Phil Spencer Corporate VPs Joe Belfiore Richard Rashid (SVP) S. Somasegar (SVP) César Cernuda,,,,,
4,Founders,Bill Gates Paul Allen,,,,,
5,Board of directors,John W. Thompson (Chairman) Satya Nadella (CEO) Bill Gates Charles Noski Helmut Panke John W. Stanton Reid Hoffman Sandi Peterson Penny Pritzker Charles Scharf Arne Sorenson Padmasree Warrior,,,,,
6,Senior leadership team,Satya Nadella (CEO) Scott Guthrie Amy Hood (CFO) Harry Shum Phil Spencer,,,,,
7,Corporate VPs,Joe Belfiore Richard Rashid (SVP) S. Somasegar (SVP) César Cernuda,,,,,
8,Products,Hardware Azure Kinect HoloLens LifeCam Surface Hub Go Laptop Pro Studio Xbox Operating systems Windows Xbox OS Software Office Office 365 Mobile Servers Visual Studio Web properties Azure Bing Channel 9 CodePlex Developer Network Docs MSN Mixer Office.com OneDrive Outlook.com Store TechNet Translator,,,,,
9,Hardware,Azure Kinect HoloLens LifeCam Surface Hub Go Laptop Pro Studio Xbox,,,,,
