,IPA,a,ap,at,ak,aʔ,ã,ɔ,ɔk,ɔ̃,ə,o,e,ẽ,i,iɛn,iəŋ
0,Pe̍h-ōe-jī,a,ap,at,ak,ah,aⁿ,o͘,ok,oⁿ,o,o,e,eⁿ,i,ian,eng
1,Revised TLPA,a,ap,at,ak,ah,aN,oo,ok,ooN,o,o,e,eN,i,ian,ing
2,TLPA,a,ap,at,ak,ah,ann,oo,ok,oonn,o,o,e,enn,i,ian,ing
3,BP,a,ap,at,ak,ah,na,oo,ok,noo,o,o,e,ne,i,ian,ing
4,MLT,a,ab/ap,ad/at,ag/ak,aq/ah,va,o,og/ok,vo,ø,ø,e,ve,i,ien,eng
5,DT,a,āp/ap,āt/at,āk/ak,āh/ah,ann/aⁿ,o,ok,onn/oⁿ,or,or,e,enn/eⁿ,i,ian/en,ing
6,Taiwanese kana,アア,アㇷ゚,アッ,アㇰ,アァ,アア,オオ,オㇰ,オオ,オオ,ヲヲ,エエ,エエ,イイ,イェヌ,イェン
7,Extended bopomofo,ㄚ,ㄚㆴ,ㄚㆵ,ㄚㆶ,ㄚㆷ,ㆩ,ㆦ,ㆦㆶ,ㆧ,ㄜ,ㄛ,ㆤ,ㆥ,ㄧ,ㄧㄢ,ㄧㄥ
8,Tâi-lô,a,ap,at,ak,ah,ann,oo,ok,onn,o,o,e,enn,i,ian,ing
9,Example (traditional Chinese),亞洲,壓力,警察,沃水,牛肉,三十,烏色,中國,,澳洲,澳洲,下晡,,醫學,鉛筆,英國
10,Example (simplified Chinese),亚洲,压力,警察,沃水,牛肉,三十,乌色,中国,,澳洲,澳洲,下晡,,医学,铅笔,英国
