,File system,Creator,Year of introduction,Original operating system
0,DECtape,DEC,1964,PDP-6 Monitor
1,OS/3x0 FS,IBM,1964,OS/360
2,Level-D,DEC,1968,TOPS-10
3,George 3,ICT (later ICL),1968,George 3
4,Version 6 Unix file system (V6FS),Bell Labs,1972,Version 6 Unix
5,RT-11 file system,DEC,1973,RT-11
6,Disk Operating System (GEC DOS),GEC,1973,Core Operating System
7,CP/M file system,Digital Research (Gary Kildall),1974,CP/M[1][2]
8,ODS-1,DEC,1975,RSX-11
9,GEC DOS filing system extended,GEC,1977,OS4000
10,FAT (8-bit),Microsoft (Marc McDonald) for NCR,1977,Microsoft Standalone Disk BASIC-80 (later Microsoft Standalone Disk BASIC-86)
11,DOS 3.x,Apple,1978,Apple DOS
12,UCSD p-System,UCSD,1978,UCSD p-System
13,CBM DOS,Commodore,1978,Commodore BASIC
14,Version 7 Unix file system (V7FS),Bell Labs,1979,Version 7 Unix
15,ODS-2,DEC,1979,OpenVMS
16,FAT12,Seattle Computer Products (Tim Paterson),1980,QDOS/86-DOS (later IBM PC DOS 1.0)
17,ProDOS,Apple,1980,Apple SOS (later ProDOS 8)
18,DFS,Acorn Computers Ltd,1982,Acorn BBC Micro MOS
19,ADFS,Acorn Computers Ltd,1983,Acorn Electron (later Arthur/RISC OS)
20,FFS,Kirk McKusick,1983,4.2BSD
21,FAT16,"IBM, Microsoft",1984,"PC DOS 3.0, MS-DOS 3.0"
22,MFS,Apple,1984,System 1
23,Elektronika BK tape format,"NPO ""Scientific centre"" (now Sitronics)",1985,"Vilnius Basic, BK monitor program"
24,HFS,Apple,1985,System 2.1
25,Amiga OFS[1],Metacomco for Commodore,1985,Amiga OS
26,GEMDOS,Digital Research,1985,Atari TOS
27,NWFS,Novell,1985,NetWare 286
28,High Sierra,Ecma International,1986,MSCDEX for MS-DOS 3.1/3.2[3]
29,FAT16B,Compaq,1987,Compaq MS-DOS 3.31
30,Minix V1 FS,Andrew S. Tanenbaum,1987,MINIX 1.0
31,Amiga FFS,Commodore,1988,Amiga OS 1.3
32,ISO 9660:1988,"Ecma International, ISO",1988,"MS-DOS, ""classic"" Mac OS, and AmigaOS"
33,HPFS,IBM & Microsoft,1989,OS/2 1.2
34,Rock Ridge,IEEE,c. 1990,Unix
35,JFS1,IBM,1990,AIX[a]
36,VxFS,VERITAS,1991,SVR4.0
37,ext,Rémy Card,1992,Linux
38,AdvFS,DEC,1993[4],Digital Unix
39,NTFS,"Microsoft (Gary Kimura, Tom Miller)",1993,Windows NT 3.1
40,LFS,Margo Seltzer,1993,Berkeley Sprite
41,ext2,Rémy Card,1993,"Linux, Hurd"
42,Xiafs,Q. Frank Xia,1993,Linux
