,Unit,Base,American,British,ANZAC,Soviet,French,German,Italian,Japanese
0,Artillery,10.5 cm leFH 18,,,,,,1942 Second Edition,,
1,Artillery,88mm Flak 36,,,,,,Europe,Europe 1940,
2,Artillery,105mm Howitzer,Europe,Europe,Pacific 1940,Europe,Europe 1940,,,
3,Artillery,152mm Howitzer,,,,Europe 1940 Second Edition,Europe 1940 Second Edition,,,
4,Artillery,BL 5.5 inch,,,1942 Second Edition,,,,,
5,Artillery,Cannone da 75/32,,,,,,,Europe 1940 Second Edition,
6,Artillery,Ordnance QF 25 pounder,,1942 Second Edition,,,,,,
7,Artillery,Type 92 70mm,,,,,,,Anniversary,Pacific
8,Mechanized Infantry,M5 Half-track,Pacific 1940,Pacific 1940,Pacific 1940,,,,,
9,Mechanized Infantry,Priest,,Pacific 1940 Second Edition,,,,,,
10,Mechanized Infantry,Ram-Kangaroo,,,Pacific 1940 Second Edition,,,,,
11,Mechanized Infantry,Sd.Kfz. 251,,,,,,Pacific 1940,Pacific 1940,Pacific 1940
12,Mechanized Infantry,SPA Dovunque 35,,,,,,,Pacific 1940 Second Edition,
13,Mechanized Infantry,Type 1,,,,,,,,Pacific 1940 Second Edition
14,Mechanized Infantry,ZIS-42,,,,Pacific 1940,Europe 1940,,,
15,Tank,AC Sentinel,,,Pacific 1940 Second Edition,,,,,
16,Tank,IS-2,1941,1941,,1941,,,,
17,Tank,M14/41,,,,,,,Anniversary,
18,Tank,M15/42,,,,,,,Europe 1940 Second Edition,
19,Tank,Matilda II,,Anniversary,Pacific 1940,,,,,
20,Tank,Panther,,,,,,Europe,Europe 1940,
21,Tank,Sherman,Europe,Europe,,,,,,
22,Tank,T-34,,,,Pacific,Europe 1940,,,
23,Tank,Tiger,,,,,,1941,,1941
24,Tank,Type 95,,,,,,,,Pacific
25,Truck,GMC 2 1/2-ton,Battle of the Bulge,,,,,,,
26,Truck,Opel 3-ton,,,,,,Battle of the Bulge,,
27,Antiaircraft Gun,(Generic),Guadalcanal,,,,,,,Guadalcanal
28,Antiaircraft Gun,3.7in QFAA,,1942 Second Edition,,,,,,
29,Antiaircraft Gun,8.8cm Flak 41,,,,,,1942 Second Edition,,
30,Antiaircraft Gun,75mm Type 88,,,,,,,,1942 Second Edition
31,Antiaircraft Gun,85mm M1939,,,,1942 Second Edition,Europe 1940 Second Edition,,,
32,Antiaircraft Gun,90mm M1,1942 Second Edition,,,,,,,
33,Antiaircraft Gun,L/70 40mm,,,Pacific 1940 Second Edition,,,,,
34,Antiaircraft Gun,Cannone da 90/53,,,,,,,Pacific 1940 Second Edition,
35,Transport,Baltic Timber Ship,,,,Europe 1940 Second Edition,Europe 1940 Second Edition,,,
36,Transport,Fort class,1941,1941,,1941,,,,
37,Transport,Hakusan Maru class,,,,,,,,Pacific
38,Transport,Hilfskreuzer,,,,,,Europe,Anniversary,
39,Transport,Iridio Mantovani,,,,,,,Pacific 1940 Second Edition,
40,Transport,Liberty ship,Europe,Europe,Pacific 1940,Pacific 1940,Pacific 1940,,,
41,Transport,Monowai,,,Pacific 1940 Second Edition,,,,,
42,Transport,Yamazuki Maru class,,,,,,1941,,1941
43,Destroyer,Akizuki class,,,,,,1941,,1941
44,Destroyer,Fubuki class,,,,,,,,Pacific
45,Destroyer,Gnevny class,,,,1942,Europe 1940,,,
46,Destroyer,Johnston class,Europe,Europe,Pacific 1940,Europe,,,,
47,Destroyer,Saumarez,,1942 Second Edition,,,,,,
48,Destroyer,Soldati class,,,,,,,Pacific 1940 Second Edition,
49,Destroyer,Sumner class,1941,1941,,1941,,,,
50,Destroyer,Tribal class,,,Pacific 1940 Second Edition,,,,,
51,Destroyer,Zerstörer 1934,,,,,,Europe,Anniversary,
52,Submarine,I class,,,,,,,,Pacific
53,Submarine,Kaichu class,,,,,,1941,,1941
