,vte,Consumer,Consumer.1,Professional,Professional.1
0,Portables,"MacBook Air13.3"" (retina) model; uses Intel Core i5 processors","MacBook Air13.3"" (retina) model; uses Intel Core i5 processors","MacBook Pro13.3"" (retina P3) and 15.4"" (retina P3) models;use Intel Core i5, i7, or i9 processors","MacBook Pro13.3"" (retina P3) and 15.4"" (retina P3) models;use Intel Core i5, i7, or i9 processors"
1,Desktops,"Mac MiniEntry-level desktop; uses Intel Core i3, i5, or i7 processors","iMac21.5"" (non-retina and 4K P3) and 27"" (5K P3) models; use Intel Core i5, i7 or i9 processors","iMac Pro27"" (5K P3) model; uses Intel Xeon W processors",Mac ProCustomizable workstation desktop; uses Intel Xeon E5 processors
