,Implementation,Secure Renegotiation[173],Server Name Indication[174],ALPN[175],Certificate Status Request[174],OpenPGP[176],Supplemental Data[177],Session Ticket[178],Keying Material Exporter[179],Maximum Fragment Length[174],Truncated HMAC[174],Encrypt-then-MAC[180],TLS Fallback SCSV[181],Extended Master Secret[182],ClientHello Padding[183],Raw Public Keys[184]
0,Botan,Yes,Yes,Yes[185],No,No,No,Yes,Yes,Yes,No,Yes,Yes[186],Yes[187],No,Unknown
1,cryptlib,Yes,Yes,No,No,No,Yes,No,No,No[188],No,Yes,Yes,Yes,No,Unknown
2,GnuTLS,Yes,Yes,Yes[189],Yes,No[190],Yes,Yes,Yes,Yes,No,Yes[38],Yes[191],Yes[38],Yes[192],Yes[193]
3,JSSE,Yes,Yes[67],Yes[67],Yes,No,No,No,No,Yes,No,No,No,Yes,No,No
4,LibreSSL,Yes,Yes,Yes[194],Yes,No,No?,Yes,Yes?,No,No,No,Server side only[195],No,Yes,Unknown
5,MatrixSSL,Yes,Yes,Yes[196],Yes[130],No,No,Yes,No,Yes,Yes,No,Yes[130],Yes[130],No,Unknown
6,mbed TLS,Yes,Yes,Yes[197],No,No,No,Yes,No,Yes,Disabled by default[46],Yes[198],Yes[198],Yes[198],No,No
7,NSS,Yes,Yes,Yes[199],Yes,No[200],No,Yes,Yes,No,No,No[201],Yes[202],Yes[203],Yes[199],Unknown
8,OpenSSL,Yes,Yes,Yes[54],Yes,No,No?,Yes,Yes,Yes,No,Yes,Yes[204],Yes[205],Yes[206],Unknown
9,RSA BSAFE Micro-Edition Suite,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No
10,RSA BSAFE SSL-J,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
11,SChannel XP/2003,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Unknown
12,SChannel Vista/2008,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes[207],No,Unknown
13,SChannel 7/2008R2,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes[207],No,Unknown
14,SChannel 8/2012,Yes,Yes,No,Yes,No,Yes,Client side only[208],No,No,No,No,No,Yes[207],No,Unknown
15,"SChannel 8.1/2012R2, 10",Yes,Yes,Yes,Yes,No,Yes,Yes[208],No,No,No,No,No,Yes[207],No,Unknown
16,Secure Transport,Yes,Yes,Unknown,No,No,Yes,No,No,No,No,No,No,No,No,Unknown
17,wolfSSL,Yes,Yes,Yes[150],Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Unknown
18,Erlang/OTP SSL application,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Unknown
19,Implementation,Secure Renegotiation,Server Name Indication,ALPN,Certificate Status Request,OpenPGP,Supplemental Data,Session Ticket,Keying Material Exporter,Maximum Fragment Length,Truncated HMAC,Encrypt-then-MAC,TLS Fallback SCSV,Extended Master Secret,ClientHello Padding,
