,Function,Size (bits)[note 1],Size (bits)[note 1].1,Size (bits)[note 1].2,Size (bits)[note 1].3,Size (bits)[note 1].4,Size (bits)[note 1].5,Words ×Passes =Rounds[note 2],Operations[note 3],Endian[note 4]
0,Function,Word,Digest,Chainingvalues[note 5],Computationvalues[note 6],Block,Length[note 7],Words ×Passes =Rounds[note 2],Operations[note 3],Endian[note 4]
1,GOST R 34.11-94,32,×8 = 256,×8 = 256,×8 = 256,×8 = 256,32,4,A B L S,Little
2,HAVAL-3-128,32,×4 = 128,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 3 = 96,A B S,Little
3,HAVAL-3-160,32,×5 = 160,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 3 = 96,A B S,Little
4,HAVAL-3-192,32,×6 = 192,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 3 = 96,A B S,Little
5,HAVAL-3-224,32,×7 = 224,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 3 = 96,A B S,Little
6,HAVAL-3-256,32,×8 = 256,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 3 = 96,A B S,Little
7,HAVAL-4-128,32,×4 = 128,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 4 = 128,A B S,Little
8,HAVAL-4-160,32,×5 = 160,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 4 = 128,A B S,Little
9,HAVAL-4-192,32,×6 = 192,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 4 = 128,A B S,Little
10,HAVAL-4-224,32,×7 = 224,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 4 = 128,A B S,Little
11,HAVAL-4-256,32,×8 = 256,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 4 = 128,A B S,Little
12,HAVAL-5-128,32,×4 = 128,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 5 = 160,A B S,Little
13,HAVAL-5-160,32,×5 = 160,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 5 = 160,A B S,Little
14,HAVAL-5-192,32,×6 = 192,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 5 = 160,A B S,Little
15,HAVAL-5-224,32,×7 = 224,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 5 = 160,A B S,Little
16,HAVAL-5-256,32,×8 = 256,×8 = 256,×8 = 256,"×32 = 1,024",64,32 × 5 = 160,A B S,Little
17,MD2,8,×16 = 128,×32 = 256,×48 = 384,×16 = 128,None,48 × 18 = 864,B,
18,MD4,32,×4 = 128,×4 = 128,×4 = 128,×16 = 512,64,16 × 3 = 48,A B S,Little
19,MD5,32,×4 = 128,×4 = 128,×4 = 128,×16 = 512,64,16 × 4 = 64,A B S,Little
20,RIPEMD,32,×4 = 128,×4 = 128,×8 = 256,×16 = 512,64,16 × 3 = 48,A B S,Little
21,RIPEMD-128,32,×4 = 128,×4 = 128,×8 = 256,×16 = 512,64,16 × 4 = 64,A B S,Little
22,RIPEMD-256,32,×8 = 256,×8 = 256,×8 = 256,×16 = 512,64,16 × 4 = 64,A B S,Little
23,RIPEMD-160,32,×5 = 160,×5 = 160,×10 = 320,×16 = 512,64,16 × 5 = 80,A B S,Little
24,RIPEMD-320,32,×10 = 320,×10 = 320,×10 = 320,×16 = 512,64,16 × 5 = 80,A B S,Little
25,SHA-0,32,×5 = 160,×5 = 160,×5 = 160,×16 = 512,64,16 × 5 = 80,A B S,Big
26,SHA-1,32,×5 = 160,×5 = 160,×5 = 160,×16 = 512,64,16 × 5 = 80,A B S,Big
27,SHA-256,32,×8 = 256,×8 = 256,×8 = 256,×16 = 512,64,16 × 4 = 64,A B S,Big
28,SHA-224,32,×7 = 224,×8 = 256,×8 = 256,×16 = 512,64,16 × 4 = 64,A B S,Big
29,SHA-512,64,×8 = 512,×8 = 512,×8 = 512,×16 = 1024,128,16 × 5 = 80,A B S,Big
30,SHA-384,64,×6 = 384,×8 = 512,×8 = 512,×16 = 1024,128,16 × 5 = 80,A B S,Big
31,Tiger-192,64,×3 = 192,×3 = 192,×3 = 192,×8 = 512,64,8 × 3 = 24,A B L S,Not Specified
32,Tiger-160,64,×2.5=160,×3 = 192,×3 = 192,×8 = 512,64,8 × 3 = 24,A B L S,Not Specified
33,Tiger-128,64,×2 = 128,×3 = 192,×3 = 192,×8 = 512,64,8 × 3 = 24,A B L S,Not Specified
