,Country,Year,Mission
0,Japan,1970,Lambda-4S/Ohsumi
1,China,1970,Long March 1/Dong Fang Hong I
2,India,1980,SLV/Rohini D1
3,Israel,1988,Shavit/Ofeq 1
4,Iran,2009,Safir-1/Omid
5,North Korea,2012,Unha-3/Kwangmyŏngsŏng-3 Unit 2
