,File format,Office Open XML,OpenDocument
0,Based on a formatdeveloped by,Microsoft,StarDivision / Sun Microsystems
1,Predecessor file format,Microsoft Office XML formats,OpenOffice.org XML
2,Standardized by,"Ecma International, ISO/IEC","OASIS, ISO/IEC"
3,First public release date,2006,2005
4,First stable version,Ecma International Standard ECMA-376 Office Open XML File Formats 1st edition,OASIS OpenDocument Format for Office Applications (OpenDocument) v1.0
5,Latest stable version,ISO/IEC IS 29500-1:2012—Office Open XML File Formats[1],OASIS Open Document Format for Office Applications (OpenDocument) v1.2
6,Latest ISO/IEC standardised version,ISO/IEC IS 29500-1:2012—Office Open XML File Formats[1],ISO/IEC IS 26300:2006—Open Document Format for Office Applications (OpenDocument) v1.0
7,Language type,Markup language (XML),Markup language (XML)
8,XML schema representation,XML Schema (W3C) (XSD) and RELAX NG (ISO/IEC 19757-2),RELAX NG (ISO/IEC 19757-2)
9,Expression of extensibility rules,NVDL (ISO/IEC 19757-4),
10,Compression format,ZIP,ZIP
11,Container structure,Open Packaging Convention (ISO/IEC 29500-2:2012)[2],ODF Package[3]
12,Metadata format,Dublin Core (ISO 15836),subset of Dublin Core and “urn:oasis:names:tc:opendocument:xmlns:meta” elements
13,Drawing language,"DrawingML, VML",“urn:oasis:names:tc:opendocument:xmlns:drawing” elements and “urn:oasis:names:tc:opendocument:xmlns:svg-compatible” elements
14,Mathematical notation language,Office MathML (OMML),MathML[4][5]
15,Change-tracking,supported[6],supported[7]
16,Conditional formatting in spreadsheets,supported[8],supported[9]
17,Spreadsheet formula language,part of the standard[citation needed],based on OpenFormula
18,Macro language,application-defined,application-defined
19,Digital signatures,part of the standard[citation needed],supported
20,Thumbnails,JPEG (ISO/IEC 10918),PNG (ISO/IEC 15948)
21,Interchange of digital font information,Open Font Format (ISO/IEC 14496-22),
22,PANOSE font specifications,part of the standard[10],
23,Filename extensions,"docx, docm, xlsx, xlsm, pptx, pptm","odt, ods, odp, odg, odf"
24,Internet media types,application/vnd.openxmlformats-officedocument.wordprocessingml.document application/vnd.ms-word.document.macroEnabled.12 application/vnd.openxmlformats-officedocument.spreadsheetml.sheet application/vnd.ms-excel.sheet.macroEnabled.12 application/vnd.openxmlformats-officedocument.presentationml.presentation application/vnd.ms-powerpoint.presentation.macroEnabled.12,application/vnd.oasis.opendocument.text application/vnd.oasis.opendocument.spreadsheet application/vnd.oasis.opendocument.presentation application/vnd.oasis.opendocument.graphics application/vnd.oasis.opendocument.formula
25,Application support,Office Open XML software,OpenDocument software
26,Standard licensing,ISO/IEC copyrighted free download[11] Ecma copyrighted free download / copying allowed,ISO/IEC copyrighted free download[11] OASIS copyrighted free download / copying allowed
27,Additional technology patent licensing,Reasonable and Non Discriminatory Licensing (RAND-Z) Microsoft Open Specification Promise (OSP)[12] Microsoft Covenant Not to Sue (CNS)[13],Sun Microsystems intellectual property covenant IBM Interoperability Specifications Pledge[14]
28,Implementations covered by patent license,Patent license covers conforming implementations[12],Patent license covers fully compliant implementations[14]
29,Implemented,Microsoft Office 2013 (and later)[15][16][17][18] and LibreOffice (for Microsoft Office 2007 Office Open XML),"Many including LibreOffice, OpenOffice.org, KOffice, AbiWord, Lotus Notes and Microsoft Office (since 2007 SP2)"
30,File format,Office Open XML,OpenDocument
