,XEP,Description,Status,ejabberd,iChat Server,jabberd14,jabberd2,Metronome,Isode M-Link,MongooseIM,Openfire,Prosody,Tigase
0,0004,Data forms,Final,Yes[8],Unknown,Unknown,No[17],Yes[18],Yes[19],Yes,Yes[5],Yes[20],Yes[6][21]
1,0009,Jabber RPC,Final,Yes[8],Unknown,Unknown,No[17],Unknown,No,No,Unknown,Yes[20],Yes
2,0012,Last Activity,Final,Yes[8],Unknown,Yes[2],Yes[17],Yes[18],Yes[19],Yes,Yes[5],Yes[20],Yes[6]
3,0013,Flexible offline message retrieval,Draft,No[8],Unknown,Yes[2],No[17],No[18],No,No,Yes[5],No[20],Yes[6]
4,0016,Privacy Lists,Deprecated,Yes[8],Unknown,Yes[2],Yes[17],Yes[18],No,Yes,Unknown,Yes[20],Yes[6]
5,0018,Invisible Presence,Rejected,Yes[8],Unknown,Yes[2],No[17],No,No,Yes,Unknown,Unknown,No[6]
6,0020,Feature negotiation,Deprecated,Yes[22],Unknown,Unknown,No[17],Unknown,No,No,No[5],Yes[20],Yes[6]
7,0022,Message Events,Obsolete,Yes[8],Unknown,Yes[2],Yes[17],Unknown,No,Yes,Unknown,Yes[20],Yes[6]
8,0023,Message Expiration,Obsolete,Yes[8],Unknown,Yes[2],Yes[17],Unknown,No,Yes,Unknown,Unknown,No
9,0025,HTTP Polling,Obsolete,Yes[8],Unknown,Unknown,No[17],No[18],No,No,Unknown,No[20],No[6]
10,0030,Service Discovery,Final,Yes[8],Unknown,Yes[2],Yes[17],Yes[18],Yes[19],Yes,Yes[5],Yes[20],Yes[6]
11,0033,Extended Stanza Addressing,Draft,Yes[8][23],Unknown,Unknown,No[17],No[18],No,No,Yes[5],PartialContrib.[20][24],No[6]
12,0039,Statistics Gathering (deferred),Deferred,Yes[8],Unknown,Unknown,No[17],No[18],No,No,Unknown,Unknown,Yes[6]
13,0045,Multi User Chat,Draft,Yes[8],Unknown,Contrib.[2][25],No[17],Yes[18],Yes[19],Yes,Yes[5],Yes[20],Yes[6]
14,0047,In-Band Bytestreams,Final,Yes[8],Unknown,Unknown,No[17],Unknown,No,Yes,Yes[5],Yes[20],Yes[6]
15,0049,Private XML Storage,Historical Use,Yes[8],Unknown,Yes[2],Yes[17],Yes[18],Yes[19],Yes,Yes[5],Yes[20],Yes[6]
16,0050,Ad-Hoc Commands,Draft,Yes[8],Unknown,Unknown,No[17],Yes[18],Yes[19],Yes,Yes[5],Yes[20],Yes[6]
17,0054,vcard-temp,Historical Use,Yes[8],Unknown,Yes[2],Yes[17],Yes[18],Yes[19],Yes,Yes[5],Yes[20],Yes[6]
18,XEP,Description,Status,ejabberd,iChat Server,jabberd14,jabberd2,Metronome,Isode M-Link,MongooseIM,Openfire,Prosody,Tigase
19,0055,Jabber Search,Historical Use,Yes[8],Unknown,Unknown,No[17],Yes[18],Yes[19],Yes,Yes[5][26],No[20],Unknown
20,0059,Result set management,Draft,Yes[8],Unknown,Unknown,No[17],Partial[18],No,Yes,Yes[5],No[20],Yes[6]
21,0060,Publish-Subscribe,Draft,Yes[8],Unknown,Contrib.[2][27],No[17],Yes[18],Yes[19],Yes,Yes[5],Yes[20],Yes[6]
22,0065,SOCKS5 Bytestreams,Draft,Yes[8],Unknown,Contrib.[2][28],No[17],Yes[18],No,No,Yes[5],Yes[20],Yes[6]
23,0066,Out of Band Data,Draft,Yes[8],Unknown,Unknown,No[17],Unknown,No,Yes,Unknown,Yes,Yes[6]
24,0068,Field Standardization for Data Forms,Approved,Yes[8],Unknown,Unknown,No[17],Unknown,Yes[19],Yes,Unknown,Yes[20],Yes[6]
25,0070,Verifying HTTP Requests via XMPP,Draft,No[8],Unknown,Unknown,No[17],No[18],No,No,Unknown,No[20],No[6]
26,0073,Basic IM Protocol Suite,Obsolete,Unknown,Unknown,Yes[2],Yes[17],Yes,No,Yes,Yes[5],Yes,Yes[6]
27,0077,In-Band Registration,Final,Yes[8],Unknown,Yes[2],Yes[17],Yes[18],Yes[19],Yes,Yes[5],Yes[20],Yes[6]
28,0078,Non-SASL Authentication,Obsolete,Yes[8],Unknown,Yes[2],Yes[17],No[18],Yes[19],Yes,Yes[5],Yes[20],Yes[6]
29,0079,Advanced Message Processing,Draft,Contrib.[8][29],Contrib.[8],Unknown,Yes[17],No[18],No,"Template:Yes, partial",Unknown,No[20],Yes[6]
30,0080,User Location,Draft,Unknown,Unknown,Unknown,No[17],Yes[18],No,Yes,Unknown,Yes[20],Yes[6]
31,0082,XMPP Date and Time Profiles,Approved,Yes[8],Unknown,Unknown,No[17],Yes[18],Yes[19],Yes,Yes[5],Yes[20],Yes[6]
32,0083,Nested Roster Groups,Approved,Yes[8],Unknown,Yes[2],Yes[17],Yes[18],No,Yes,Unknown,Yes[20],Yes[6]
33,0084,User Avatar,Draft,Unknown,Unknown,Unknown,No[17],Yes[18],No,No,Unknown,Yes[20],Yes[6]
34,0085,Chat State Notifications,Final,Yes[8],Unknown,Unknown,No[17],Yes,No,Yes,Unknown,Yes[20],Yes[6]
35,0086,Error Condition Mappings,Deprecated,Yes[8],Unknown,Yes[2],Yes[17],No[18],No,Yes,Yes[5],No,Yes[6]
36,0090,Legacy Entity Time,Obsolete,Yes[8][30],Unknown,Yes[2],Yes[17],No[18],No,No,Yes[5],Yes[20],Yes[6]
37,XEP,Description,Status,ejabberd,iChat Server,jabberd14,jabberd2,Metronome,Isode M-Link,MongooseIM,Openfire,Prosody,Tigase
38,0091,Legacy Delayed Delivery,Obsolete,Yes[8][30],Unknown,Yes[2],Yes[17],Yes,Yes[19],No,Yes[5],Yes[20],Yes[6]
39,0092,Software Version,Draft,Yes[8],Unknown,Yes[2],Yes[17],Yes[18],Yes[19],No,Yes[5],Yes[20],Yes[6]
40,0093,Roster Item Exchange,Deprecated,Unknown,Unknown,Yes[2],Yes[17],Unknown,No,Yes,Unknown,No,No
41,0095,Stream Initiation,Deprecated,Unknown,Unknown,Unknown,No[17],Unknown,No,Yes,Unknown,No,No
42,0096,SI File Transfer,Deprecated,Unknown,Unknown,Unknown,No[17],Unknown,No,Yes,Yes[5],Yes[20],Yes[6]
43,0106,JID escaping,Draft,Yes[8],Unknown,Unknown,No[17],Yes,No,Yes,Yes[5],Yes[20],Yes[6]
44,0107,User Mood,Draft,Unknown,Unknown,Unknown,No[17],Yes[18],No,No,Unknown,Yes[20],Yes[6]
45,0108,User Activity,Draft,Unknown,Unknown,Unknown,No[17],Yes[18],No,No,Unknown,Yes[20],Yes[6]
