,Driver,802.11,802.11.1,802.11.2,802.11.3,802.11.4,Businterface,WirelessSecurity,WirelessSecurity.1,WirelessSecurity.2,Monitormode,Master(AP)mode,Ad-Hocmode
0,Driver,a,b,g,n,ac,Businterface,WEP,WPA,WPA2,Monitormode,Master(AP)mode,Ad-Hocmode
1,acx1xx,No,Yes,Yes,No,No,"PCI, Mini PCI, PC card, USB",Yes,No,No,Yes,Yes,?
2,adm8211,?,?,?,?,?,PCI,?,?,?,?,No,?
3,carl9170,Yes,Yes,Yes,Yes,No,USB,Yes,Yes,Yes,Yes,Yes,Yes
4,ath5k,Yes,Yes,Yes,No,No,"PCI, Mini PCI, PC card, AHB",Yes,Yes,Yes,Yes,Yes (2.6.31),Yes
5,ath9k,Yes,Yes,Yes,Yes,No,"PCI, Mini PCI, Mini PCIe, AHB",Yes,Yes,Yes,Yes,Yes,Yes
6,ath9k_htc,Yes,Yes,Yes,Yes,No,USB,Yes,Yes,Yes,Yes,Yes,Yes
7,ath10k,No,No,No,No,Yes,"PCI, Mini PCI, AHB, Mini PCIe",Yes,Yes,Yes,Yes,Yes,Yes
8,b43,No,Yes,Yes,No,No,"PCI, Mini PCI, SDIO ?",Yes,Yes,Yes,Yes,Yes,Yes
9,bcm43xx,No,Yes,Yes,No,No,"PCI, Mini PCI,Cardbus, PC card",Yes,Yes,Yes,Yes,No,?
10,brcmfmac,Yes,Yes,Yes,Yes,No,"USB, SDIO,PCI Express",Yes,Yes,Yes,Exp. [27],Yes [28],No
11,brcmsmac,Yes,Yes,Yes,Yes,No,"PCI, Mini PCI,Mini PCIe",Yes,Yes,Yes,Yes,Yes [29],Yes [30]
12,hostap,No,Yes,No,No,No,"PCI, Mini PCI,PC card",Yes,Yes [31],Yes [31],Yes,Yes,Yes
13,ipw2100,No,Yes,No,No,No,Mini PCI,Yes,Yes,Yes,Yes,?,?
14,ipw2200,Yes,Yes,Yes,No,No,Mini PCI,Yes,Yes,Yes,Yes,No,Yes
15,ipw2200-ap,No,Yes,Yes,No,No,Mini PCI,?,?,?,Yes,Yes,?
16,ipw3945,Yes,Yes,Yes,No,No,"Mini PCI,Mini PCIe",Yes,Yes,Yes,Yes,No,Yes
17,islsm,?,?,?,?,?,"PCI, USB",No,No,No,?,No,?
18,iwlwifi,Yes,Yes,Yes,Yes,Yes,"Mini PCI, Mini PCIe",Yes,Yes,Yes,Yes,Exp. [32] [33],Yes
19,libertas,No,Yes,Yes,No,No,"USB, CF, SDIO",?,?,?,?,No,?
20,madwifi,Yes,Yes,Yes,No,No,"PCI, PC card,Mini PCI",Yes,Yes,Yes,Yes,Yes,Yes
21,mt76,Yes,Yes,Yes,Yes,Yes,"PCIe, USB",Yes,Yes,Yes,Yes,Yes,Yes
22,mt7601u,No,Yes,Yes,Yes,No,USB,Yes,Yes,Yes,Yes,?,?
23,orinoco,No,Yes,No,No,No,"Mini PCI,PC card",Yes,Yes [34],No,Yes,No,Yes
24,p54,No,Yes,Yes,No,No,"Mini PCI, USB,Cardbus",Yes,Yes,Yes,Yes,Yes,Yes
25,prism54,No,Yes,Yes,No,No,PCI,Yes,No,?,Yes,Yes,?
26,rndis_wlan,No,Yes,Yes,No,No,USB,Yes,Yes,Yes,No,No,Yes
27,rt2x00,No,Yes,Yes,No,No,"PCI, USB,Mini PCI",Yes,Yes [35],Yes [36],Yes,Yes [37],Yes
28,rtl8180,Yes,Yes,Yes,No,No,"PCI, PC card,Mini PCI",?,?,?,?,Yes,?
29,rtl8187,Yes,Yes,Yes,No,No,USB,Yes,Yes,Yes,Yes,?,?
30,zd1201,No,Yes,No,No,No,USB,Yes,No [38],No [38],Yes,Yes,?
31,zd1211,Yes,Yes,Yes,No,No,USB,Yes,Yes,Yes,Yes,Yes,?
32,zd1211rw,No,Yes,Yes,No,No,USB,Yes,Yes,Yes,Yes,Yes [39],Yes
