,IRC daemon,Channel types,Halfop support (+h %),Admin/protect support (+a/+u &/!/*),Founder/owner support (+q ~/.),Operator prefixing[66],Advanced operator ACL,"Operator ""levels""[67]",vHost via I-line (or equivalent),i18n nicknames[68],RDBMS integration (SQL)
0,Bahamut,#,No,No,No,No,No,No,Partial,No,No
1,bIRCd,# &,No,No,No,No,No,No,Partial,No,No
2,Charybdis,# &,No,No,No,No,Yes,Yes,Yes,No,No
3,ConferenceRoom,# &,No,No,Yes,No,Yes,Yes,Yes,Partial,Partial
4,FoxEye ircd,# & ! +,Module,No,No,No,No,No,Yes,Yes,No
5,InspIRCd,#,Yes,Module,Module,Module,Yes,Module,Yes,Module,"Old versions: MySQL, SQLite & PostgreSQL: Authorization, Services Integration, Logging, Operaccess"
6,IRCD,# & ! +,No,No,No,No,No,No,No,No,No
7,IRCD-Hybrid,#,Yes,No,No,No,No,No,Yes,No,No
8,ircd-ratbox,# &,No,No,No,No,No,No,Yes,No,No
9,ircu,# &,No,Yes,No,No,Yes,No,No,No,No
10,ithildin,#,No,No,No,Yes,Yes,Yes,No,No,No
11,miniircd,+ # & !,No,No,No,No,No,No,No,No,No
12,Nefarious IRCu,# &,Yes,No,No,No,Yes,No,Yes,No,No
13,ngIRCd,# & +,Yes[69],Yes,Yes,No,No,No,No,No,No
14,OfficeIRC Server,# %# & %&,No,Yes,Yes,Yes,Partial,Yes,Yes,Yes,Partial
15,Oragono,#,Yes,Yes,Yes,No,Yes,Unknown,No,Yes,No
16,PleXusIRCd,# &,Yes,Yes,Yes,No,No,Unknown,Yes,Unknown,No
17,pureIRCd,#,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
18,RockIRCd,#,No,Yes,Yes,Unknown,Unknown,Yes,No,Unknown,No
19,RubIRCd,#,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
20,ShadowIRCd,# &,Yes,Yes,No,No,Yes,Yes,Yes,No,No
21,snircd,# &,No,Yes,No,No,Yes,No,Yes,No,No
22,solid-ircd,#,Yes,No,No,No,No,No,Partial,No,No
23,Synchronet IRCd,# &,No,No,No,No,No,No,No,No,No
24,UnrealIRCd,#,Yes,Yes,Yes,No,Yes,Third party module (netadmins)[70],"Yes, vhost block in conf","iso8859-1/2/7/8-I/9/16, windows-1250/1251, Multibyte",MySQL & PostgreSQL: Third party modules [71]
25,WeIRCd,#,Yes,No,No,No,No,No,No,No,SQLite in services module
