,Model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,Clock rate,Clock rate.1,Core config[a],Fillrate,Fillrate.1,Memory,Memory.1,Memory.2,Memory.3,Processing power(GFLOPS),Processing power(GFLOPS).1,TDP (Watts)[b],TDP (Watts)[b].1,Crossfire Support,API support (version),API support (version).1,API support (version).2,Release Price (USD)
0,Model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,Core (MHz),Memory (MHz),Core config[a],Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Double precision,Idle,Max.,Crossfire Support,Direct3D,OpenGL,OpenCL,Release Price (USD)
1,Radeon HD 5450,"Feb 4, 2010",Cedar PRO,40,292,59,PCIe 2.1 x16PCIPCIe 2.1 x1,650650650,400800800,80:8:4,2.6,5.2,51210242048,6.412.8,DDR2DDR3,64,104,,6.4,19.1,No,11.3(11_0),4.5,1.2,~50
2,Radeon HD 5550,"Feb 9, 2010",Redwood LE,40,627,104,PCIe 2.1 x16,550550550,400800800,320:16:8,4.4,8.8,51210242048,12.825.651.2,DDR2GDDR3GDDR5,128,352,,10,39,No,11.3(11_0),4.5,1.2,~70
3,Radeon HD 5570,"Feb 9, 2010",Redwood PRO,40,627,104,PCIe 2.1 x16,650650,400900,400:20:8,5.2,13.0,51210242048,12.828.857.6,DDR2GDDR3GDDR5,128,520,,10,39,No,11.3(11_0),4.5,1.2,80
4,Radeon HD 5610,"May 14, 2011",Redwood PRO,40,627,104,PCIe 2.1 x16,650,500,400:20:8,5.2,13.0,1024,16.0,GDDR3,128,520,,,39,No,11.3(11_0),4.5,1.2,
5,Radeon HD 5670,"Jan 14, 2010",Redwood XT,40,627,104,PCIe 2.1 x16,775775,8001000,400:20:8,6.2,15.5,51210242048,25.664.0,GDDR3GDDR5,128,620,,15,64,4-way Crossfire,11.3(11_0),4.5,1.2,99
6,Radeon HD 5750,"Oct 13, 2009",Juniper PRO,40,1040,170,PCIe 2.1 x16,700700,11501150,720:36:16,11.2,25.2,5121024,73.6,GDDR5,128,1008,,16,86,4-way Crossfire,11.3(11_0),4.5,1.2,129
7,Radeon HD 5770,"Oct 13, 2009",Juniper XT,40,1040,170,PCIe 2.1 x16,850850,12001200,800:40:16,13.6,34.0,5121024,76.8,GDDR5,128,1360,,18,108,4-way Crossfire,11.3(11_0),4.5,1.2,159
8,Radeon HD 5830,"Feb 25, 2010",Cypress LE,40,2154,334,PCIe 2.1 x16,800,1000,1120:56:16,12.8,44.8,1024,128.0,GDDR5,256,1792,358.4,25,175,4-way Crossfire,11.3(11_0),4.5,1.2,239
9,Radeon HD 5850,"Sep 30, 2009",Cypress PRO,40,2154,334,PCIe 2.1 x16,725725,10001000,1440:72:32,23.2,52.2,10242048,128.0,GDDR5,256,2088,417.6,27,151,4-way Crossfire,11.3(11_0),4.5,1.2,259
10,Radeon HD 5870,"Sep 23, 2009",Cypress XT,40,2154,334,PCIe 2.1 x16,850850,12001200,1600:80:32,27.2,68.0,10242048,153.6,GDDR5,256,2720,544,27,188228,4-way Crossfire,11.3(11_0),4.5,1.2,379
11,Radeon HD 5870Eyefinity Edition[c][22],"Mar 11, 2010",Cypress XT,40,2154,334,PCIe 2.1 x16,850,1200,1600:80:32,27.2,68.0,2048,153.6,GDDR5,256,2720,544,27,228,4-way Crossfire,11.3(11_0),4.5,1.2,479
12,Radeon HD 5970,"Nov 18, 2009",Hemlock XT,40,2154×2,334×2,PCIe 2.1 x16,725725,10001000,1600:80:32×2,46.4,116.0,1024×22048×2,128×2,GDDR5,256×2,4640,928,51,294,2-way Crossfire,11.3(11_0),4.5,1.2,599
13,Model,Launch,Code name,Fab (nm),Transistors (Million),Die Size (mm²),Bus interface,Core (MHz),Memory (MHz),Core config[a],Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Single Precision,Double Precision,Idle,Max.,Crossfire Support,Direct3D,OpenGL,OpenCL,Release Price (USD)
14,Model,Launch,Code name,Fab (nm),Transistors (Million),Die Size (mm²),Bus interface,Clock rate,Clock rate,Core config[a],Fillrate,Fillrate,Memory>,Memory>,Memory>,Memory>,Processing power(GFLOPS),Processing power(GFLOPS),TDP (W)[b],TDP (W)[b],Crossfire Support,API support (version),API support (version),API support (version),Release Price (USD)
