,Model,Archi-tecture,Chips,Thread processors(total),Bus interface,Memory,Memory.1,TDP (Watts)
0,Model,Archi-tecture,Chips,Thread processors(total),Bus interface,Bus type,Size (GB),TDP (Watts)
1,GRID K1[214],Kepler,4× GK107,4× 192,PCIe 3.0 ×16,DDR3,4× 4GB,130
2,GRID K2[215],Kepler,2× GK104-895,2× 1536,PCIe 3.0 ×16,GDDR5,2× 4GB,225
3,GRID K340,Kepler,4× GK107,4× 384,PCIe 3.0 ×16,GDDR5,4× 1GB,225
4,GRID K520,Kepler,2× GK104,2× 1536,PCIe 3.0 ×16,GDDR5,2× 4GB,225
