,Name,License,Cost,OS X,Unix-like,Windows,Audio,Images,Video,Transcoding,Web Interface,DLNA support,Multilingual[1],Implementation,Subtitles[2],Still Supported,Misc.
0,360 Media Server,GPL,Free,No,Yes,Yes,Yes,No,No,Yes,Yes,Unknown,Unknown,Java,Unknown,No,
1,ALLMediaServer,GPL,Trialware,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Delphi/Python,Yes,Yes,
2,ArkMS,Prop.,Non-free,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Unknown,C++,Yes,Yes,
3,aVia Media Player,Prop.,Free,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Unknown,Java,Unknown,Yes,
4,BRisa,MIT,Free,Partial[3],Partial[3],No,Yes,Yes,Yes,Yes[4],Yes,Unknown,Unknown,Python,Unknown,Unknown,
5,Coherence,MIT,Free,Partial[3],Partial[3],Partial[3],Yes,Yes,Yes,Yes[5],Yes[4],Yes,Unknown,Python,Unknown,No,
6,DivX,Prop.,Free,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,C++,Unknown,Yes,
7,Elgato Eyeconnect,Prop.,Non-free,Yes,No,No,Yes,Yes,Yes,No,No,Unknown,Yes,Unknown,Unknown,No,
8,Foobar2000[6],Prop.,Free,No,No,Yes,Yes,No,No,Yes,No,Unknown,Unknown,C++,Unknown,Yes,
9,FUPPES,GPL,Free,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Unknown,C++,Unknown,No,
10,GeeXboX uShare,GPL,Free,No,Yes[7],No,Yes,Yes,Yes,No,Yes,Yes,Unknown,C,Unknown,No,
11,Gmediaserver,GPL,Free,No,Yes,No,Yes,No,Yes,No,No,Unknown,Unknown,C,Unknown,No,
12,Home Media Center[8],GPLv2,Free,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,.NET 4,Yes,Yes,
13,iSedora Media Server,Prop.,Non-free,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Objective C / C++ / JavaScript,Unknown,Yes,
14,Jamcast,Prop.,Free,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Unknown,C++ / C# / Java,Unknown,Yes,
15,JRiver Media Center,Prop.,Non-free,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,C++,Yes,Yes,
16,Kodi (formerly XBMC),GPL,Free,Yes,Yes,Yes,Yes,Yes [9],Yes,No,Yes,Yes,Yes,C++,Yes,Yes,
17,KooRaRoo Media,Prop.,Non-free[10],Yes[11],Yes[12],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,C++,Yes[13],Yes,
18,LimboMedia,Prop.,Free,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Java,Yes,Yes,
19,LXiMedia,GPL,Free,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, mandatory",Yes,Yes,Unknown,C++,Yes,No,
20,Majestic Media Server,Prop.,Non-free,Yes,No,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,
21,MediaMonkey,Prop.,Non-free,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Delphi,Yes,Yes,
22,MediaTomb,GPL,Free,Partial[14],Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,C++,Unknown,No,
23,Gerbera,GPL,Free,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,C++,Unknown,Yes,Based on MediaTomb
24,ReadyMedia (formerly MiniDLNA),GPL/BSD,Free,Partial[15],Yes,Yes[16],Yes,Yes,Yes,Partial[17],Partial[18],Yes,Unknown,C,Yes,Unknown,
25,Mezzmo,Prop.,Free,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,C++,Yes,Yes,
26,myiHome,Prop.,Free,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Unknown,Java,Unknown,Unknown,
27,MythTV with uPnP,GPL,Free,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,C++,Unknown,Unknown,
28,Nullriver Medialink,Prop.,Non-free,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Unknown,Unknown,Yes,Unknown,
29,PlayOn,Prop.,Non-free,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,C#,Partial[19],Unknown,
30,Plex,Prop.,Non-free[20],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,C++ / Python,Yes,Yes,
31,PS3 Media Server,GPL,Free,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[21],Yes,Yes,Java,Yes,No,
32,PyMedS,MIT,Free,Partial[3],Partial[3],No,Unknown,Unknown,Unknown,Yes[22],No,Unknown,Unknown,Python,Unknown,No,
33,Rygel,LGPLv2,Free,No,Yes,No [23],Yes,Yes,Yes,Yes,No,Yes,Yes,Vala,Unknown,Yes,
34,Rivet[24],Prop.,Free,Yes,No,No,Yes,Yes,Yes,No,No,Unknown,Unknown,Unknown,Unknown,No[24],
35,Serviio,Prop.,Non-free[25],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[26],Yes,Yes,Java,Partial[27],Unknown,
36,SimpleCenter Premium,Prop.,Non-free,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,
