,Network Name,Location,Founded,Status
0,24/7 Open AdStream [7],"New York, NY",1997[8],Active
1,AdBrite[9],San Francisco[10],2002[10],Defunct
2,Adcash [11],"Tallinn, Estonia",2007,Active
3,Atlas Solutions[12],USA,2001,Active
4,Bing Ads,Seattle,2006,Active
5,Adform[13],"Copenhagen, Denmark",2002,Active
6,AdTaily [14],"London, UK[15]",2010[15],Active
7,Advertising.com [16],"Baltimore, Maryland",1998[17],Active
8,AdWords[18],"Ann Arbor, Michigan[19]",2000[20],Active
9,BlueLithium[21],"San Jose, California[22]",2004[22],Defunct[23]
10,Chitika[24],"Westborough, Massachusetts[25]",2003[26],Active
11,Criteo[27],France[28],2005,Active
12,DoubleClick[29],Chicago[30],1998[30],Active
13,Baidu,"Beijing, China",2000,Active
14,ExoClick,"Barcelona, Spain",2006,Active
15,Hydra Network[31],"Beverly Hills, California[32]",2003[33],Defunct[34]
16,Right Media[35],New York[35][36],2004[37],Active
17,Rocket Fuel[38],"Redwood City, California",2008,Active
18,ValueClick[39],"Westlake Village, California[39]",1998[40],Active
19,Yahoo! Publisher Network[41],"Sunnyvale, California",2005,Defunct
20,Yashi[42],"Toms River, New Jersey",2007,Active
21,Zedo[43],San Francisco[44],1999[45],Active
