,Name,Developer,Software license,Latest stable software release,Operating system,"Year (not dynamic, but easier for sorting)"
0,ABC,various,PSFL,"3.1 (October 2, 2005; 14 years ago[5])","Windows, Linux",2005
1,Acquisition,Acquisition,Proprietary,"2.2 (v223) (November 19, 2010; 9 years ago) [±]",macOS,2010
2,BitComet,BitComet Development Group,"Proprietary, Adware","1.61 (November 4, 2019; 28 days ago) [±][6]","Windows, macOS",2018
3,BitLet,various,ASL,?,(Java runtime),2015
4,BitLord,House of Life,"Proprietary, Adware installs WhenU adware","Windows: 2.4.6-343 (August 18, 2019; 3 months ago) [±] macOS: 2.4.6-343 (August 18, 2019; 3 months ago) [±]","Windows, macOS",2017
5,BitTornado,John Hoffman,MIT,"0.3.17 (October 19, 2006; 13 years ago) [±]","Windows, macOS, Linux, BSD",2006
6,BitTorrent,BitTorrent,"Proprietary, Adware","Windows7.10.5.45416 / November 21, 2019; 11 days ago[7]Mac7.4.3.43797 / September 4, 2019; 2 months ago[8]Android6.1.4 / September 27, 2019; 2 months ago[9]","Windows, macOS",2018
7,Windows,"7.10.5.45416 / November 21, 2019; 11 days ago[7]",,,,
8,Mac,"7.4.3.43797 / September 4, 2019; 2 months ago[8]",,,,
9,Android,"6.1.4 / September 27, 2019; 2 months ago[9]",,,,
10,BitTyrant,University of Washington,GPL,"1.1.1 (September 7, 2007; 12 years ago[10]) [±]","Windows, macOS, Linux",2007
11,Blog Torrent,Downhill Battle,GPL,"0.92 (April 20, 2005; 14 years ago) [±]","Windows, macOS",2005
12,Deluge,various,GPL,"2.0.3 (June 12, 2019; 5 months ago) [±]","Windows, macOS, Linux, BSD",2019
13,FlashGet,Trend Media,Proprietary,"3.7.0.1220 (May 17, 2013; 6 years ago[11]) [±]",Windows,2013
14,Folx,Eltima Software,"Proprietary, Setapp","5.0.13709 (March 28, 2018; 20 months ago) [±][12] 5.0.13493 (May 26, 2016; 3 years ago) [±]",macOS,2018
15,Free Download Manager,alervd,Proprietary,"5.1.38 (build 7312) (January 31, 2019; 10 months ago) [±][13]","Windows, macOS",2018
16,FrostWire,The FrostWire Project,GPL,"6.8.2 (build 288) (August 31, 2019; 3 months ago) [±]","Windows, macOS, Linux, Android",2019
17,KGet,KDE,GPL,"4.14.38 (November 7, 2017; 2 years ago) [±][14]",Linux,2019
18,KTorrent,"Joris Guisson, Ivan Vasić",GPL,"5.1.2 (September 1, 2019; 3 months ago[15]) [±]",Linux,2019
19,Lftp,Alexander V. Lukya,GPL,"4.8.4 (August 1, 2018; 16 months ago[16]) [±]",Linux,2018
20,LimeWire,Lime Wire LLC,GPL,"5.5.16 (September 30, 2010; 9 years ago) [±]","Windows, macOS, Linux",2010
21,Meerkat Bittorrent Client,47 Software,Proprietary,"1.5.8 (August 28, 2011; 8 years ago) [±]",Windows,2011
22,Miro,Participatory Culture Foundation,GPL,"6.0 (April 16, 2013; 6 years ago) [±][17]","Windows, macOS, Linux",2013
23,MLDonkey,MLDonkey Project,GPL,"3.1.6 (January 22, 2017; 2 years ago[18]) [±]","Windows, macOS, Linux, MorphOs",2014
24,μTorrent,Ludvig Strigeus,"Proprietary, Adware [a]",Template:Latest stable software release/μTorrent,"Windows, macOS, Android",2018
25,OneSwarm,University of Washington,GPL,"0.7.5 (May 23, 2011; 8 years ago[19]) [±]",,2011
26,Opera 12,Opera Software,Proprietary,"Windows (Presto) – 12.17 Linux, FreeBSD, macOS – 12.16","Windows, macOS, Linux",2016
27,qBittorrent,Christophe Dumez,GPL,"4.1.8 (September 26, 2019; 2 months ago) [±][20] [21]","Windows, macOS, Linux, BSD",2019
28,rTorrent,Jari Sundell,GPL,"rTorrent 0.9.8 / libTorrent 0.13.8 (July 19, 2019; 4 months ago) [±][22]",Linux,2019
29,Robert,"Sponge, co-developer of I2P",GPL,Template:Latest stable software release/Robert (P2P software),,2009
30,Shareaza,Shareaza Development Team,GPL,"2.7.10.2 (September 18, 2017; 2 years ago[23]) [±]",Windows,2017
31,SymTorrent,Imre Kelényi,GPL,"1.51 (October 23, 2012; 7 years ago[24]) [±]",Symbian,2012
32,Tixati,Kevin Hearn,Proprietary,"2.64 (October 18, 2019; 45 days ago[25]) [±]","Windows, Linux",2018
33,Tomato Torrent,Sarwat Khan,BT OSL,"1.5.1 (October 27, 2007; 12 years ago[26])",macOS,2007
34,Tonido,CodeLathe,Proprietary,"3.62.0.21836 (December 31, 2012; 6 years ago) [±] Du","Windows, macOS, Linux, BSD",2012
35,TorrentFlux,various,GPL,"2.4 (June 18, 2008; 11 years ago[27]) [±]",PHP Server,2008
36,Transmission,various,GPL/MIT,"2.94 (May 1, 2018; 19 months ago) [±][28]","Windows, macOS, Linux, BSD",2018
37,Tribler,The Tribler Team,LGPL,"7.3.0 (August 27, 2019; 3 months ago) [±][29]","Windows, macOS, Linux, Android",2019
38,Vuze (formerly Azureus),Vuze,"Proprietary (platform), GPL (core engine), Adware","5.7.6.0 (November 2, 2017; 2 years ago) [±][30]","Windows, macOS, Linux, Android",2017
39,Xunlei,Thunder Networking Technologies,Proprietary,Microsoft Windows:9.1.43.938 (10 November 2017; 2 years ago) [±][31] macOS:3.1.7.3266 (27 October 2017; 2 years ago) [±][31] iOS:5.20 (18 June 2016; 3 years ago) [±][31] Android:5.33 (28 February 2017; 2 years ago) [±][31],"Windows, macOS, Android, iOS",2017
40,Name,Developer,Software license,Latest stable software release,,Year
