,Client,Developer,First public release,Monthly active users,Registration requirement,License,Operating system,Operating system.1,Operating system.2,Operating system.3,Operating system.4,Operating system.5,E2EE 2-user chat,E2EE group chat,File transfer,Voice recording,Client.1,Voice chat,Video chat,Read receipts,Editing sent messages,Deleting sent messages,Custom emoji,Stickers,Self-destructing messages,Screenshot protection,Themes / skins,Plugins,Peer-to-peer text chat,Open source servers,Federated servers,Client.2
25,Silence,,,,Phone number,GPLv3,No,No,No,No,Yes,No,Yes,No,Yes,No,Silence,No,No,Yes,No,Yes,-,-,Yes,Yes,Yes,No,,Sms,Sms,Silence
26,Signal,Signal Messenger,July 2014; 5 years ago,,Phone number,GPLv3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Signal,Yes,Yes,Yes,No,Partial,No,No,Yes,Yes,Yes,No,No,Yes,No,Signal
27,Silent Phone,Silent Circle,"January 16, 2013; 6 years ago",,,Proprietary commercial software,No,No,No,No,Yes,Yes,Yes,Yes[9],Yes,,Silent Phone,,,,,,No,,Yes,Yes,,,No,No,No,Silent Phone
28,Skype,"Skype Technologies, a subsidiary of Microsoft Corporation",2003; 16 years ago,300 million (2018)[10],,Proprietary Freemium adware,Yes,Yes,Yes,No,Yes,Yes,Optional,No,Yes,Yes,Skype,Yes,Yes,,Yes,,No,,,,No,Yes,No,No,No,Skype
29,Slack,Slack Technologies,August 2013; 6 years ago,,Email,Proprietary Freemium,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Slack,,,,,,Yes,,,,Yes,Yes,No,No,No,Slack
30,Snapchat,Snap Inc.,November 2011; 8 years ago,294 million (2019)[11],Email / Phone number,Proprietary Freeware,No,No,No,No,Yes,Yes,No,No,No,Yes,Snapchat,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Snapchat
31,Surespot,Surespot LLC,2013; 6 years ago,,,GPLv3,No,No,No,No,Yes,Yes,Yes,No groupchat,Yes,Yes,Surespot,Yes,No,,,,No,,No,,Yes,No,No,No,No,Surespot
32,Telegram,Telegram Messenger LLP,2013; 6 years ago,200 million (2019)[12],Phone number,"GPLv2, GPLv3[13]",Yes,Yes,Yes,Yes,Yes,Yes,Optional,No,Yes,Yes,Telegram,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Telegram
33,Tencent QQ,Tencent Holdings,February 1999; 20 years ago,823 million (2019)[14],,Proprietary Adware,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Tencent QQ,Yes,Yes,,,,No,,,,Yes,No,No,No,No,Tencent QQ
34,Threema,Threema GmbH,December 2012; 7 years ago,,,Proprietary commercial software,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Threema,,,,,,No,,No,,,,No,No,No,Threema
35,Trillian,Cerulean Studios,"July 1, 2000; 19 years ago",,,Proprietary Freemium adware,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Partial,Trillian,Yes,Yes,Yes,,,Yes,,,,Yes,Yes,No,No,Yes,Trillian
36,Viber,Rakuten Viber,"December 2, 2010; 9 years ago",260 million (2019)[15],Phone number,Proprietary Freemium,Yes,Yes,Yes,No,Yes,Yes,Optional,Optional,Yes,Yes,Viber,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Viber
37,WeChat,Tencent Holdings Limited,"January 21, 2011; 8 years ago",1112 million (2019)[16],Phone number/QQ number,Proprietary Freeware,No,No,No,No,Yes,Yes,No,No,Yes,,WeChat,,,,,,No,,,,,,No,No,No,WeChat
38,WhatsApp,"WhatsApp Inc., a subsidiary of Facebook",January 2009; 10 years ago,1600 million (2019)[17],Phone number,Proprietary Freeware,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,WhatsApp,Yes,Yes,Yes,No,Partial,No,Yes,No,No,No,No,No,No,No,WhatsApp
39,Wickr,Wickr Inc.,June 2012; 7 years ago,,,Proprietary Trialware,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Wickr,Yes,Yes,,,,No,,Yes,Yes,No,Yes,No,No,No,Wickr
40,Wire,Wire Swiss GmbH,"December 3, 2014; 5 years ago",,Email / Phone number,GPLv3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wire,Yes,Yes,Yes,Yes,Yes,No,No,Yes[18],No,No,No,No,Yes[19],No,Wire
41,Client,Developer,First public release,Monthly active users,Registration requirement,License,Windows,macOS,Linux,Web,Android,iOS,E2EE 2-user chat,E2EE group chat,File transfer,Voice recording,Client,Voice chat,Video chat,Read receipts,Editing sent messages,Deleting sent messages,Custom emoji,Stickers,Self-destructing messages,Screenshot protection,Themes / skins,Plugins,Peer-to-peer text chat,Open source servers,Federated servers,Client
42,Client,Developer,First public release,Monthly active users,Registration requirement,License,Operating system,Operating system,Operating system,Operating system,Operating system,Operating system,E2EE 2-user chat,E2EE group chat,File transfer,Voice recording,Client,Voice chat,Video chat,Read receipts,Editing sent messages,Deleting sent messages,Custom emoji,Stickers,Self-destructing messages,Screenshot protection,Themes / skins,Plugins,Peer-to-peer text chat,Open source servers,Federated servers,Client
