,Unnamed: 0,Scanner support,Freehand sketch,Raster filters,Change color depth,Image resize,Rotate,Crop,Raster shapes
0,Easy Trace,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,FreeHand,No,No,No,No,Yes,Yes,No,No
2,Graphic Tracer Professional,Yes,Yes,,,Yes,Yes,No,
3,Illustrator,No,No,No,No,Yes,Yes,No,No
4,Potrace,,,,,,,,
5,ImageTracer,,,,,,,,
6,Scan2CAD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,WinTopo Pro,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
8,,Scanner Support,Freehand sketch,Raster Filters,Change color depth,Image resize,Rotate,Crop,Raster Shapes
