,Model,Launch,Code name,Fab (nm),Transistors (billion),Die size (mm2),Bus interface,Core config,Clock speeds,Clock speeds.1,Clock speeds.2,Fillrate,Fillrate.1,Memory,Memory.1,Memory.2,Memory.3,Supported API version,Supported API version.1,Supported API version.2,Supported API version.3,Processing power (GFLOPS),Processing power (GFLOPS).1,Processing power (GFLOPS).2,TBP (Watts),SLI support
0,Model,Launch,Code name,Fab (nm),Transistors (billion),Die size (mm2),Bus interface,Core config,Base core clock (MHz),Boost core clock (MHz),Memory (MT/s),Pixel (GP/s),Texture (GT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width (bit),DirectX,OpenGL,OpenCL,Vulkan,Single precision (Boost),Double precision,Half precision,TBP (Watts),SLI support
1,GeForce MX110[146][147],November 2017,GM108,28,Unknown,Unknown,Unknown,256:?:8,Unknown,Unknown,Unknown,Unknown,Unknown,≤2,(variable),GDDR5/DDR3,64,12,4.5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,GeForce MX130[146][148][149],November 2017,GM108,28,Unknown,Unknown,Unknown,384:?:8,Unknown,Unknown,Unknown,Unknown,Unknown,≤2,(variable),GDDR5/DDR3,64,12,4.5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,GeForce MX150[150],Mid 2017,GP108 (N17S-G1-A1),14,1.8,70,PCIe 3.0 x4,384:24:16[151][152],1468,1532,6008,23.5,35.2,2,48,GDDR5,64,12 (12_1),4.5,1.2,1.0,1127 (1177),18,9,25,No
4,GeForce MX150[150],?,GP108 (N17S-LG-A1),14,1.8,70,PCIe 3.0 x4,384:24:16[151][152],937,1038,5012,15,22.5,2,40,GDDR5,64,12 (12_1),4.5,1.2,1.0,720 (797),11,6,10,No
5,GeForce GTX 1050 (Notebook)[153][154],"January 3, 2017",GP107,14,3.3,135,PCIe 3.0 x16,640:40:16,1354,1493,7000,21.7,54.2,4,112,GDDR5,128,12 (12_1),4.5,1.2,1.0,1733 (1911),27,14,53,No
6,GeForce GTX 1050 Ti (Notebook)[153],"January 3, 2017",GP107,14,3.3,135,PCIe 3.0 x16,768:48:32,1493,1620,7000,47.8,71.7,4,112,GDDR5,128,12 (12_1),4.5,1.2,1.0,2293 (2488),36,18,64,No
7,GeForce GTX 1060 (Notebook)[153],"August 16, 2016",GP106,16,4.4,200,PCIe 3.0 x16,1280:80:48,1404,1670,8000,67.4,112,6,192,GDDR5,192,12 (12_1),4.5,1.2,1.0,3594 (4275),112,56,80,No
8,GeForce GTX 1060 Max-Q,May 2017,GP106,16,4.4,200,PCIe 3.0 x16,1280:80:48,1063,1480,8000,,,6,192,GDDR5,192,12 (12_1),4.5,1.2,1.0,,,,,No
9,GeForce GTX 1070 (Notebook)[153],"August 16, 2016",GP104,16,7.2,314,PCIe 3.0 x16,2048:128:64,1442,1645,8000,92.3,185,8,256,GDDR5,256,12 (12_1),4.5,1.2,1.0,5906 (6738),185,92,115,Yes
10,GeForce GTX 1070 Max-Q,May 2017,GP104,16,7.2,314,PCIe 3.0 x16,2048:128:64,1101,1379,8000,,,8,256,GDDR5,256,12 (12_1),4.5,1.2,1.0,,,,,No
11,GeForce GTX 1080 (Notebook)[153],"August 16, 2016",GP104,16,7.2,314,PCIe 3.0 x16,2560:160:64,1556,1733,10000,99.6,249,8,320,GDDR5X,256,12 (12_1),4.5,1.2,1.0,7967 (8873),249,124,150,Yes
12,GeForce GTX 1080 Max-Q,May 2017,GP104,16,7.2,314,PCIe 3.0 x16,2560:160:64,1101,1468,10000,,,8,320,GDDR5X,256,12 (12_1),4.5,1.2,1.0,,,,,No
