,Client,Multi-server,UTF-8,Proxy server,irc:// URI scheme,Automatic updates,Scripting language,Push notifications
0,AndroidChat,?,?,?,?,?,?,?
1,Mobile Colloquy,Yes,Yes,No,Yes,Yes,No,Yes
2,fIRC,?,?,?,?,?,?,?
3,jmIrc,No,Yes,Yes,No,No,Yes,?
4,k-IRC,No,No,No,No,No,No,?
5,Virca,?,Yes,?,?,No,?,?
6,wIRC,?,?,Yes,?,?,?,?
7,WLIrc,?,No,?,?,No,?,?
8,Yaaic,Yes,Yes,No,No,Yes,No,?
9,Simple IRC,Yes,Yes,No,No,No,No,Yes
10,zsIRC,Yes,Yes,No,No,Yes,No,?
11,Client,Multi-server,UTF-8,Proxy server,irc:// URI scheme,Automatic updates,Scripting language,Push notifications
