,Product,Free,License
0,Apabi Reader,Yes,
1,Blio,Partial (voices cost),
2,Bluefire Reader,Yes,Proprietary
3,DL Reader,Yes,
4,eBookMobi,No,
5,Ebook Reader,Yes,Proprietary
6,i2Reader,No,
7,iBooks,Yes,Proprietary
8,Kindle,Yes,
9,Kobo Reading App,Yes,
10,KyBook / KyBook 2,Yes,"Proprietary, partially OS"
11,MapleRead,Partial (CX edition is free),
12,Marvin,Partial (ability to see more than one book in library cost),
13,MegaReader,No,
14,ShuBook,Partial,
15,Stanza,Yes,Proprietary
16,uBooks XL,Partial Adware,
17,iBouquiniste,No,
