,Company,Software,On-demand scan,On-access scan,Firewall,AntiSpam,Web protection,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,License,Price,First release,Country of origin,Notes
0,Intego,VirusBarrier iOS,Yes,No,Yes,No,No,No,No,No,No,Yes,Proprietary,Non-free,1997,United States,Discontinued
1,Symantec,Norton Mobile Security,No,No,No,No,No,Yes,No,Yes,No,Yes,Proprietary,Non-free,2011,United States,
2,Bitdefender,Bitdefender Mobile Security,No,No,No,No,No,Yes,No,No,No,No,Proprietary,"Free, In-App Purchases for VPN",2018,Romania,
3,Seqrite,mSuite MDM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Non-free,1994,India,
4,Company,Software,On-demand scan,On-access scan,Firewall,AntiSpam,Web protection,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,License,Price,First release,Country of origin,Notes
