,Unnamed: 0,Real,Complex,SPD,HPD,SY,HE,BND,TF,OF,EVP,SVD,GEVP,GSVD
0,ALGLIB,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No
1,ATLAS,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
2,Dlib,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
3,GNU Scientific Library,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No
4,ILNumerics.Net,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No
5,IMSL Numerical Libraries,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No
6,LAPACK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,MKL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,NAG Numerical Library,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,NMath,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
10,SciPy (Python packages),Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No
11,Eigen,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
12,Armadillo,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
