,Model,Memory slots,Memory Max,User-replaceable HDD/SSD?,HDD/SSD bays,Expansion slots
0,Mac Mini[1],No,16 GB,No,1,No
1,iMac[2],"None (21.5""), 4 (27"")","16 GB (21.5""), 64 GB (27"")",No,1,No
2,Mac Pro[3],4,64 GB,No,1,No
3,MacBook Air[4],No,8 GB,No,1,No
4,MacBook,No,16 GB,No,No,No
5,MacBook Pro (2017)[6],No,16 GB,No,No,No
6,MacBook Pro (2015)[6],No,16 GB,No,1,No
