,Unnamed: 0,2003,2003.1,2003.2,2004,2004.1,2004.2,2004.3,2005,2005.1,2005.2,2005.3,2006,2006.1,2006.2,2006.3,2007,2007.1,2007.2,2007.3,2008,2008.1,2008.2,2008.3,2009,2009.1,2009.2,2009.3,2010,2010.1,2010.2,2010.3,2011,2011.1,2011.2,2011.3,2012,2012.1,2012.2,2012.3,2013,2013.1,2013.2,2013.3
0,,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4.0
1,Flagship,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-3,E-3,E-3,E-3,E-3,E-3,E-3,E-3,E-3,E-3,E-3,E-3,E-5,E-5,E-5,E-5,E-5,E-5,E-5,E-5,E-5,E-5,E-5,E-5,
2,High-end,,,,,,,,,,,,,,,,,,,,,,,E-30,E-30,E-30,E-30,E-30,E-30,E-30,E-30,E-30,E-30,E-30,E-30,E-30,,,,,,,,
3,Midrange,,,,,,,,,,,,,,,,,,,,,,,,E-620,E-620,E-620,E-620,E-620,E-620,E-620,E-620,E-620,E-620,E-620,E-620,,,,,,,,
4,Midrange,,,,,,,,,,,,,,,,,,,,,,,,,,,E-600,E-600,E-600,E-600,E-600,E-600,E-600,,,,,,,,,,
5,Midrange,,,,,,,,,,E-500,E-500,E-500,E-500,E-500,E-500,E-510,E-510,E-510,E-510,E-510,E-520,E-520,E-520,E-520,E-520,E-520,E-520,E-520,E-520,E-520,E-520,E-520,E-520,,,,,,,,,,
6,Entry-level,,,,,,E-300,E-300,E-300,E-300,E-300,E-300,E-330,E-330,E-330,E-330,E-330,E-330,E-330,E-330,,,,,E-450,E-450,E-450,E-450,E-450,E-450,E-450,E-450,E-450,E-450,,,,,,,,,,
7,Entry-level,,,,,,,,,,,,,,E-400,E-400,E-410,E-410,E-410,E-410,E-410,E-420,E-420,E-420,E-420,,,,,,,,,,,,,,,,,,,
