,Name,Creator,First public release date,Latest stable version,Software license
0,Ddoc,Walter Bright,2005/09/19,DMD 2.078.3,Boost
1,Document! X,Innovasys,1998,2014.1,Proprietary
2,Doxygen,Dimitri van Heesch,1997/10/26,1.8.14,GPL
3,Epydoc,Edward Loper,2002/01/—,3.0 (2008),MIT
4,fpdoc (Free Pascal Documentation Generator),Sebastian Guenther,2005?,2.6.4,GPL
5,Haddock,Simon Marlow,2002,2.13.1 (2012),BSD
6,HeaderDoc,Apple Inc.,2000/09/—,8.9.28,APSL
7,Imagix 4D,Imagix Corp.,1995,7.3,Proprietary
8,Javadoc,Sun Microsystems,1995,1.6,GPL
9,ScalaDoc,"LAMP, EPFL",2011,1.0,Scala License
10,JSDoc,Michael Mathews,2001/07/—,1.10.2,GPL
11,JsDoc Toolkit,Michael Mathews,2007?,2.0.0,MIT
12,mkd,Jean-Paul Louyot,1989,2015,EUPL GPL
13,Natural Docs,Greg Valure,2003/05/26,2.0.2,GPL
14,NDoc,"Jason Diamond, Jean-Claude Manoli, Kral Ferch",2003/07/27,1.3.1,GPL
15,Pandoc,John MacFarlane,2006,1.14.0.3 (2015),GPL
16,pdoc,Andrew Gallant,2013,0.5.1,Affero GPL
17,perldoc,Larry Wall,1994,5.16.3,"Artistic, GPL"
18,phpDocumentor,Joshua Eichorn,2000,1.4.4,LGPL
19,pydoc,Ka-Ping Yee[1][2],2000,in Python core,Python
20,RDoc,Dave Thomas,2001/12/14,in Ruby core,Ruby
21,ROBODoc,Frans Slothouber,1995/01/19,4.99.36,GPL
22,Sandcastle,Microsoft,2008/05/—,2014.5.31.0,Ms-PL
23,Sphinx,Georg Brandl,2008/03/21,1.6.3,BSD
24,Visual Expert,Novalys,1995,2017,Proprietary
25,VSdocman,Helixoft,2003 Oct 2,9.0,Proprietary
26,YARD,Loren Segal,2007/02/24,0.7.3,MIT
27,Name,Creator,First public release date,Latest stable version,Software license
