,YouTube Downloader,MP3,MPEG4,WMV,AVI,FLV,Ogg Theora,Ogg Vorbis,Matroska,3GP,SWF,Special device profiles (e.g. iPhone),M4A,WebM
0,4KDownload,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,?,?
1,ClipGrab,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,?,?
2,Airy,Yes,Yes,No,No,No,No,No,No,No,No,No,?,?
3,Free Studio,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,?,?
4,JDownloader,Yes,Yes,No,No,Yes,No,No,No,No,No,No,?,?
5,MP3 Rocket[11],Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,?,?
6,Video DownloadHelper,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,?,?,?
7,Freemake Video Downloader,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,NewPipe,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
