,Unnamed: 0,Unnamed: 1,Unnamed: 2,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,CSS2,!important,Weight increasing,7.0,12,1.0,85,Yes,1.0,,,
1,CSS2,/*Comment*/,Comments,3.0,12,1.0,85,Yes,1.0,,,
2,CSS2,@import,Import stylesheet,8.0,12,1.0,Yes,Yes,1.0,,,
3,CSS2,@charset,Character set,5.5,12,1.0,Yes,4.2.3,1.0,,,
4,CSS2,@media,Media-specific rules,5.5,12,1.0,Yes,Yes,1.0,,,
5,css-namespace-3,@namespace,Namespace declaration,9.0[t 1],12,1.0,Yes,Yes,1.0,,,
6,earlier draft of css-conditional3,@document,Restriction by URLs,No,No,6.0,No,No,No,,,
7,css-animations-1,@keyframes,Animation key,10.0[t 2],12,16.0,Experimental,No,2.12,,,
8,css3-conditional,@supports,Conditional Rules,No,12,22.0[g 1],28.0[w 1],No,2.12,,,
9,css-counter-styles-3,@counter-style,Custom Counter Styles,No,No,33.0[g 2],No,No,No,,,
10,css-device-adapt-1,@viewport,"Viewport, Device Adaptation",10.0[t 3],12.0,No[w 2],No,No,2.7.62[p 1],,,
11,filter-effects-1,@filter,Filter,No,No,35.0,Experimental,No,No,,,
12,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page
13,CSS2,@page,For paged media,8.0,12,19.0[g 3],Nightly Build[w 3],No,1.0,,,
14,css-page-3,@top-left-corner,Margin boxes[spec 3],No,No,No,No[w 4],No,No,,,
15,css-page-3,@top-left,Margin boxes[spec 3],No,No,No,No[w 4],No,No,,,
16,css-page-3,@top-center,Margin boxes[spec 3],No,No,No,No[w 4],No,No,,,
17,css-page-3,@top-right,Margin boxes[spec 3],No,No,No,No[w 4],No,No,,,
18,css-page-3,@top-right-corner,Margin boxes[spec 3],No,No,No,No[w 4],No,No,,,
19,css-page-3,@bottom-left-corner,Margin boxes[spec 3],No,No,No,No[w 4],No,No,,,
20,css-page-3,@bottom-left,Margin boxes[spec 3],No,No,No,No[w 4],No,No,,,
21,css-page-3,@bottom-center,Margin boxes[spec 3],No,No,No,No[w 4],No,No,,,
22,css-page-3,@bottom-right,Margin boxes[spec 3],No,No,No,No[w 4],No,No,,,
23,css-page-3,@bottom-right-corner,Margin boxes[spec 3],No,No,No,No[w 4],No,No,,,
24,css-page-3,@left-top,Margin boxes[spec 3],No,No,No,No[w 4],No,No,,,
25,css-page-3,@left-middle,Margin boxes[spec 3],No,No,No,No[w 4],No,No,,,
26,css-page-3,@left-bottom,Margin boxes[spec 3],No,No,No,No[w 4],No,No,,,
27,css-page-3,@right-top,Margin boxes[spec 3],No,No,No,No[w 4],No,No,,,
28,css-page-3,@right-middle,Margin boxes[spec 3],No,No,No,No[w 4],No,No,,,
29,css-page-3,@right-bottom,Margin boxes[spec 3],No,No,No,No[w 4],No,No,,,
30,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font,Font
31,css-fonts-3,@font-face,Define font,9.0[t 4],12,1.9.1,525,4.3,2.2,,,
32,css-fonts-3,@font-feature-values,Define font features,No,No,34.0,No,No,No,,,
33,css-fonts-3,@annotation,Font feature value block,No,No,34.0,No,No,No,,,
34,css-fonts-3,@styleset,Font feature value block,No,No,34.0,No,No,No,,,
35,css-fonts-3,@swash,Font feature value block,No,No,34.0,No,No,No,,,
36,css-fonts-3,@ornaments,Font feature value block,No,No,34.0,No,No,No,,,
37,css-fonts-3,@stylistic,Font feature value block,No,No,34.0,No,No,No,,,
38,css-fonts-3,@character-variant,Font feature value block,No,No,34.0,No,No,No,,,
39,,,,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto,,,
