,System,Creator,License,Implementation language(s),Back end,Launch Date
0,Faveo Helpdesk,Ladybird Web Solution,Open Software License,PHP,MySQL,2015
1,GLPI,INDEPNET,GPL,PHP,MySQL,2003
2,HEAT,FrontRange Solutions,Proprietary,.NET,"Microsoft SQL Server, Oracle",1990
3,JIRA,Atlassian,"Proprietary, Free for non-commercial use; hosted & on-premises",Java,"MySQL, PostgreSQL, Oracle, Microsoft SQL Server",2003
4,OTRS,OTRS,AGPL,Perl,"MySQL, PostgreSQL, Oracle, Microsoft SQL Server",2001
5,Request Tracker,"Best Practical Solutions, LLC",GPL,Perl,"MySQL, PostgreSQL, Oracle",1999-10-13
6,Spiceworks,Spiceworks IT Software,Proprietary; free for use,Ruby,sqlite,2006
7,Supportworks,Hornbill Systems,Proprietary,Visual C++ and PHP,"Microsoft SQL Server, MySQL, Oracle, Sybase",1994
8,SysAid,SysAid Technologies,Proprietary,"Java, C#","MySQL, Derby, Oracle, Microsoft SQL Server",2002
9,Tracker,Automation Centre,Proprietary,"Groupware, requires Lotus Notes",IBM Lotus Domino,2001
10,TrackerSuite.Net,Automation Centre,Proprietary,C#,Microsoft SQL Server,2006
