,Esperanto,IPA,Novial
0,"A, a",[a],"A, a"
1,"B, b",[b],"B, b"
2,"C, c",[ts],"Ts, ts; S, s"
3,"Ĉ, ĉ",[tʃ],"Ch, ch; Sh, sh"
4,"D, d",[d],"D, d"
5,"E, e",[e] or [ɛ],"E, e"
6,"F, f",[f],"F, f"
7,"G, g",[ɡ],"G, g"
8,"Ĝ, ĝ",[dʒ],"J, j"
9,"H, h",[h],"H, h"
10,"Ĥ, ĥ",[x],"K, k"
11,"I, i",[i],"I, i"
12,"J, j",[j],"Y, y"
13,"Ĵ, ĵ",[ʒ],"J, j"
14,"K, k",[k],"K, k"
15,"L, l",[l],"L, l"
16,"M, m",[m],"M, m"
17,"N, n",[n],"N, n"
18,"O, o",[o] or [ɔ],"O, o"
19,"P, p",[p],"P, p"
20,Kv kv,[kv],"Qu, qu"
21,"R, r",[r],"R, r"
22,"S, s",[s],"S, s; Z, z"
23,"Ŝ, ŝ",[ʃ],"Sh, sh; Ch, ch"
24,"T, t",[t],"T, t"
25,"U, u",[u],"U, u"
26,"Ŭ, ŭ",[u̯],"U, u (after a vowel)"
27,"V, v",[v],"V, v; W, w"
28,"Ks, ks; kz","[ks], [ɡz]","X, x"
29,"Z, z",[z],"Z, z; S, s"
