,Browser layout engine,Trident,Gecko,WebKit,Presto,Blink
0,Corresponding JavaScript engine,JScript/Chakra,Spidermonkey/TraceMonkey/JägerMonkey/IonMonkey,JavaScriptCore/SquirrelFish Extreme,Linear B/Futhark/Carakan,V8
1,ECMAScript Edition 3,Yes,0.6,Yes,1.0,Yes
2,ECMAScript Edition 5,5.0,2.0,Partial,Yes,Yes
3,ECMA Script Edition 6,,,,,
4,JavaScript 1.5 extensions,No,0.6,Yes,1.0,Yes
5,JavaScript 1.6 extensions(excluding E4X),No,1.8,Partial,Partial,Partial
6,JavaScript 1.7 extensions,No,1.8.1,No,Partial,No
7,JavaScript 1.8 extensions,No,1.9,Partial,No,Partial
8,JavaScript 1.8.1 extensions,No,1.9.1,No,No,No
9,JScript .NET extensions,No,No,No,No,No
10,ActionScript extensions,No,No,No,No,No
11,E4X,No,Dropped[1],No,No,No
