,Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,Clock speed.1,Clock speed.2,Fillrate,Fillrate.1,Memory,Memory.1,Memory.2,Memory.3,Supported API version,Supported API version.1,Processing power (GFLOPS)2,TBP (Watts)
0,Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Core (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,Processing power (GFLOPS)2,TBP (Watts)
1,GeForce 305M,"January 10, 2010",GT218,40,PCIe 2.0 ×16,16:8:4,525,1150,1400,2.1,4.2,512,11.2,DDR3GDDR3,64,10.1,3.3,55,14
2,GeForce 310M,"January 10, 2010",GT218,40,PCIe 2.0 ×16,16:8:4,625,1530,1600,2.5,5,512,12.8,DDR3GDDR3,64,10.1,3.3,73,14
3,GeForce 315M,"January 5, 2011",GT218,40,PCIe 2.0 ×16,16:8:4,606,1212,1600,2.42,4.85,512,12.8,DDR3GDDR3,64,10.1,3.3,58.18,14
4,GeForce 320M,"April 1, 2010",MCP89,40,PCIe 2.0 ×16,48:16:8,450,950,1066,3.6,7.2,256 (shared w/ system memory) [108],17.056,DDR3,128,10.1,3.3,136.8,20
5,GeForce GT 320M,"January 21, 2010",GT216,40,PCIe 2.0 ×16,24:8:8,500,1100,1580,4,4,1024,25.3,DDR3GDDR3,128,10.1,3.3,90,14
6,GeForce GT 325M,"January 10, 2010",GT216,40,PCIe 2.0 ×16,48:16:8,450,990,1600,3.6,7.2,1024,25.6,DDR3GDDR3,128,10.1,3.3,142,23
7,GeForce GT 330M,"January 10, 2010",GT216,40,PCIe 2.0 ×16,48:16:8,575,1265,1600,4.6,9.2,1024,25.6,DDR3GDDR3,128,10.1,3.3,182,23
8,GeForce GT 335M,"January 7, 2010",GT215,40,PCIe 2.0 ×16,72:24:8,450,1080,1600,3.6,10.8,1024,25.6,DDR3GDDR3,128,10.1,3.3,233 (real 155.5),28?
9,GeForce GTS 350M,"January 7, 2010",GT215,40,PCIe 2.0 ×16,96:32:8,500,1249,3200,4,16,1024,51.2,DDR3GDDR3GDDR5,128,10.1,3.3,360,28
10,GeForce GTS 360M,"January 7, 2010",GT215,40,PCIe 2.0 ×16,96:32:8,500,1436,3600,4.4,17.6,1024,57.6,DDR3GDDR3GDDR5,128,10.1,3.3,413,38
